,Player,Nation,Pos,Age,90s,goals_GA,goals_PKA,goals_FK,goals_CK,goals_OG,expected_PSxG,expected_PSxG/SoT,expected_PSxG+/-,expected_/90,launched_Cmp,launched_Att,launched_Cmp%,passes_Att (GK),passes_Thr,passes_Launch%,passes_AvgLen,goal_kicks_Att,goal_kicks_Launch%,goal_kicks_AvgLen,crosses_Opp,crosses_Stp,crosses_Stp%,sweeper_#OPA,sweeper_#OPA/90,sweeper_AvgDist,Matches,Team,Season
25,Stefan Ortega,de GER,GK,32-184,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3,Matches,Manchester City,2024
26,André Onana,cm CMR,GK,29-037,33.0,43,3,1,10,1,43.2,0.31,1.2,0.04,109,414,26.3,1114,132,28.8,29.9,140,66.4,47.5,391,21,5.4,22,0.67,11.7,Matches,Manchester United,2024
27,Altay Bayındır,tr TUR,GK,27-025,2.0,8,0,0,0,1,7.1,0.59,0.1,0.03,8,47,17.0,93,9,37.6,35.5,17,70.6,50.6,36,4,11.1,4,2.0,11.3,Matches,Manchester United,2024
28,Nick Pope,eng ENG,GK,33-020,25.0,33,1,0,3,2,31.8,0.29,0.8,0.03,66,236,28.0,527,166,26.8,31.1,165,57.6,44.5,323,36,11.1,56,2.24,15.3,Matches,Newcastle United,2024
29,Martin Dúbravka,sk SVK,GK,36-114,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3,Matches,Newcastle United,2024
30,Matz Sels,be BEL,GK,33-072,35.0,42,3,1,4,0,45.0,0.29,3.0,0.09,231,659,35.1,654,78,70.2,45.4,257,77.8,54.3,666,19,2.9,8,0.23,8.0,Matches,Nottingham Forest,2024
31,Aaron Ramsdale,eng ENG,GK,26-360,27.0,62,5,0,9,0,58.9,0.32,-3.1,-0.12,177,530,33.4,931,118,43.5,35.5,168,74.4,54.1,379,22,5.8,17,0.63,11.9,Matches,Southampton,2024
32,Alex McCarthy,eng ENG,GK,35-157,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5,Matches,Southampton,2024
33,Joe Lumley,eng ENG,GK,30-083,3.0,7,0,0,1,0,7.7,0.39,0.7,0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0,Matches,Southampton,2024
34,Guglielmo Vicario,it ITA,GK,28-214,23.0,33,0,0,4,2,33.3,0.36,2.3,0.1,25,89,28.1,778,117,10.2,22.6,63,15.9,23.1,286,29,10.1,31,1.35,13.4,Matches,Tottenham Hotspur,2024
35,Fraser Forster,eng ENG,GK,37-053,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,Matches,Tottenham Hotspur,2024
36,Antonín Kinský,cz CZE,GK,22-057,4.0,7,0,0,0,2,4.5,0.28,-0.5,-0.12,12,33,36.4,126,16,23.8,29.1,19,15.8,22.5,75,3,4.0,4,1.0,10.1,Matches,Tottenham Hotspur,2024
37,Brandon Austin,eng ENG,GK,26-121,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4,Matches,Tottenham Hotspur,2024
38,Alphonse Areola,fr FRA,GK,32-071,23.1,39,0,0,5,3,31.6,0.3,-4.4,-0.19,129,361,35.7,727,109,34.9,32.3,181,59.1,43.6,352,12,3.4,27,1.17,14.8,Matches,West Ham United,2024
39,Łukasz Fabiański,pl POL,GK,40-021,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches,West Ham United,2024
40,José Sá,pt POR,GK,32-112,27.0,45,4,1,6,2,39.9,0.34,-3.1,-0.12,87,356,24.4,705,104,39.4,35.3,145,53.8,42.0,411,29,7.1,40,1.48,15.5,Matches,Wolverhampton Wanderers,2024
41,Sam Johnstone,eng ENG,GK,32-045,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4,Matches,Wolverhampton Wanderers,2024
42,Daniel Bentley,eng ENG,GK,31-300,1.0,0,0,0,0,0,0.1,0.04,0.1,0.09,4,16,25.0,24,0,41.7,33.3,10,60.0,46.3,22,0,0.0,0,0.0,7.7,Matches,Wolverhampton Wanderers,2024
