,Player,Nation,Pos,Age,MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,playing_time_MP
430,Djené,tg TOG,"DF,MF",33-129,30.0,30,2458.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.3,0.3,0.6,0.9,18.0,73.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Getafe,2024,
431,Luis Milla,es ESP,MF,30-214,30.0,29,2605.0,28.9,1.0,4.0,5.0,0.0,1.0,1.0,4.0,0.0,1.8,1.0,3.7,4.7,30.0,147.0,29.0,0.03,0.14,0.17,0.0,0.14,0.06,0.13,0.19,0.03,0.16,Matches,Getafe,2024,
432,Iglesias,es ESP,DF,26-310,33.0,28,2546.0,28.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,2.2,3.1,32.0,77.0,63.0,0.0,0.04,0.04,0.0,0.04,0.03,0.08,0.11,0.03,0.11,Matches,Getafe,2024,
433,Diego Rico,es ESP,DF,32-075,29.0,28,2459.0,27.3,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,2.2,2.5,25.0,119.0,79.0,0.0,0.11,0.11,0.0,0.11,0.01,0.08,0.09,0.01,0.09,Matches,Getafe,2024,
434,Mauro Arambarri,uy URU,MF,29-221,32.0,28,2423.0,26.9,9.0,0.0,9.0,6.0,3.0,3.0,10.0,0.0,7.1,4.7,0.6,5.3,14.0,70.0,51.0,0.33,0.0,0.33,0.22,0.22,0.26,0.02,0.28,0.17,0.2,Matches,Getafe,2024,
435,Chrisantus Uche,ng NGA,"FW,MF",21-355,30.0,27,2230.0,24.8,3.0,5.0,8.0,3.0,0.0,0.0,8.0,2.0,3.4,3.4,2.0,5.4,38.0,43.0,135.0,0.12,0.2,0.32,0.12,0.32,0.14,0.08,0.22,0.14,0.22,Matches,Getafe,2024,
436,Domingos Duarte,pt POR,DF,30-060,18.0,17,1531.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,0.1,0.3,3.0,43.0,3.0,0.06,0.0,0.06,0.06,0.06,0.01,0.0,0.02,0.01,0.02,Matches,Getafe,2024,
437,Carles Pérez,es ESP,"MF,FW",27-082,27.0,15,1431.0,15.9,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,1.5,3.9,31.0,20.0,77.0,0.19,0.0,0.19,0.19,0.19,0.15,0.1,0.24,0.15,0.24,Matches,Getafe,2024,
438,Bertuğ Yıldırım,tr TUR,FW,22-301,19.0,14,1043.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,2.5,2.5,1.2,3.7,8.0,14.0,46.0,0.09,0.0,0.09,0.09,0.09,0.22,0.1,0.32,0.22,0.32,Matches,Getafe,2024,
439,Alex Sola,es ESP,"MF,FW",25-334,19.0,13,1029.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.7,1.6,24.0,23.0,61.0,0.0,0.09,0.09,0.0,0.09,0.08,0.06,0.14,0.08,0.14,Matches,Getafe,2024,
440,Ramón Terrats,es ESP,"MF,FW",24-203,11.0,11,910.0,10.1,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.7,3.7,5.0,29.0,31.0,0.4,0.0,0.4,0.4,0.4,0.2,0.17,0.37,0.2,0.37,Matches,Getafe,2024,
441,Coba da Costa,es ESP,"MF,FW",22-287,16.0,11,887.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.4,2.5,40.0,13.0,73.0,0.1,0.1,0.2,0.1,0.2,0.11,0.15,0.26,0.11,0.26,Matches,Getafe,2024,
442,Juan Berrocal,es ESP,DF,26-005,16.0,10,953.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.0,0.4,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Getafe,2024,
443,Allan Nyom,cm CMR,"DF,MF",36-364,16.0,8,689.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.7,5.0,20.0,17.0,0.13,0.13,0.26,0.13,0.26,0.06,0.03,0.1,0.06,0.1,Matches,Getafe,2024,
444,Juanmi,es ESP,"FW,MF",31-354,12.0,8,664.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.9,2.9,0.3,3.2,6.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.39,0.05,0.43,0.39,0.43,Matches,Getafe,2024,
445,Juan Bernat,es ESP,"MF,DF",32-069,12.0,8,634.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,2.0,12.0,33.0,0.0,0.14,0.14,0.0,0.14,0.02,0.09,0.1,0.02,0.1,Matches,Getafe,2024,
446,Álvaro Rodríguez,uy URU,FW,20-299,19.0,5,709.0,7.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,0.2,1.3,4.0,10.0,44.0,0.25,0.0,0.25,0.25,0.25,0.14,0.03,0.17,0.14,0.17,Matches,Getafe,2024,
447,Carles Aleñá,es ESP,"MF,FW",27-124,10.0,5,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches,Getafe,2024,
448,Borja Mayoral,es ESP,FW,28-034,20.0,4,841.0,9.3,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,3.1,2.3,0.9,3.2,5.0,11.0,34.0,0.43,0.11,0.54,0.32,0.43,0.33,0.09,0.43,0.25,0.34,Matches,Getafe,2024,
449,Jesús Santiago,es ESP,MF,20-349,16.0,4,322.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Getafe,2024,
450,Nabil Aberdin,fr FRA,MF,22-259,7.0,4,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Getafe,2024,
451,Peter González,do DOM,"MF,FW",22-288,15.0,1,397.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,6.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27,Matches,Getafe,2024,
452,Abdoulaye Keita,es ESP,"FW,MF",22-250,3.0,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Getafe,2024,
453,Alberto Risco,es ESP,"MF,FW",19-252,5.0,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41,Matches,Getafe,2024,
454,John Joe,ie IRL,"MF,FW",21-197,4.0,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Getafe,2024,
455,Gorka Rivera Alonso,es ESP,"DF,MF",20-281,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,2024,
456,Ismael Bekhoucha,ma MAR,"DF,MF",20-170,2.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,2024,
457,David Argüelles,es ESP,MF,23-128,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,2024,
458,Jorge Benito,es ESP,GK,19-128,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
459,Guillem Cortiñas,es ESP,DF,22-094,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
460,Martin Cuellar,es ESP,,18-044,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
461,Diego Ferrer,,GK,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
462,Jiří Letáček,,GK,26-120,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
463,Luca Lohr,es ESP,DF,22-263,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
464,Djordjije Medenica,es ESP,GK,18-173,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Getafe,2024,
465,Joan García,es ESP,GK,24-005,,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Espanyol,2024,34.0
466,Omar El Hilali,ma MAR,DF,21-239,,33,2891.0,32.1,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.8,0.9,35.0,82.0,50.0,0.0,0.06,0.06,0.0,0.06,0.0,0.03,0.03,0.0,0.03,Matches,Espanyol,2024,33.0
467,Marash Kumbulla,al ALB,DF,25-090,,31,2702.0,30.0,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.6,1.6,0.0,1.6,10.0,59.0,2.0,0.1,0.0,0.1,0.1,0.1,0.05,0.0,0.05,0.05,0.05,Matches,Espanyol,2024,32.0
468,Javi Puado,es ESP,"FW,MF",26-349,,31,2658.0,29.5,11.0,3.0,14.0,7.0,4.0,4.0,6.0,0.0,9.6,6.5,2.3,8.7,66.0,67.0,103.0,0.37,0.1,0.47,0.24,0.34,0.33,0.08,0.4,0.22,0.3,Matches,Espanyol,2024,31.0
469,Leandro Cabrera,uy URU,DF,33-326,,29,2610.0,29.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.8,8.0,64.0,4.0,0.1,0.07,0.17,0.1,0.17,0.03,0.03,0.06,0.03,0.06,Matches,Espanyol,2024,30.0
470,Alex Král,cz CZE,MF,26-355,,28,2630.0,29.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,1.5,3.0,48.0,75.0,77.0,0.0,0.03,0.03,0.0,0.03,0.05,0.05,0.1,0.05,0.1,Matches,Espanyol,2024,34.0
471,Carlos Romero,es ESP,DF,23-192,,24,2194.0,24.4,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,1.3,3.2,43.0,58.0,89.0,0.08,0.04,0.12,0.08,0.12,0.08,0.05,0.13,0.08,0.13,Matches,Espanyol,2024,30.0
472,Jofre,es ESP,"MF,FW",23-326,,24,2013.0,22.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,2.4,4.7,60.0,46.0,148.0,0.13,0.13,0.27,0.13,0.27,0.11,0.11,0.21,0.11,0.21,Matches,Espanyol,2024,33.0
473,Pol Lozano,es ESP,MF,25-215,,24,1785.0,19.8,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.2,0.2,0.8,1.0,16.0,108.0,12.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,Matches,Espanyol,2024,27.0
474,Roberto Férnandez,es ESP,FW,22-310,,14,1177.0,13.1,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,3.3,3.3,0.2,3.4,6.0,15.0,41.0,0.46,0.0,0.46,0.46,0.46,0.25,0.01,0.26,0.25,0.26,Matches,Espanyol,2024,15.0
475,Álvaro Tejero,es ESP,"MF,DF",28-293,,13,1185.0,13.2,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.7,3.3,26.0,42.0,68.0,0.08,0.3,0.38,0.08,0.38,0.05,0.21,0.25,0.05,0.25,Matches,Espanyol,2024,26.0
476,Urko González,es ESP,MF,24-050,,12,1034.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.6,11.0,44.0,3.0,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.06,0.01,0.06,Matches,Espanyol,2024,13.0
477,Brian Oliván,es ESP,DF,31-038,,12,1017.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,21.0,40.0,57.0,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,Matches,Espanyol,2024,17.0
478,Antoniu,es ESP,"MF,FW",22-246,,11,881.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,1.1,1.9,33.0,26.0,53.0,0.0,0.1,0.1,0.0,0.1,0.09,0.11,0.2,0.09,0.2,Matches,Espanyol,2024,23.0
479,Alejo Véliz,ar ARG,FW,21-232,,10,1008.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,0.5,2.5,1.0,7.0,25.0,0.09,0.0,0.09,0.09,0.09,0.17,0.05,0.22,0.17,0.22,Matches,Espanyol,2024,24.0
480,Edu Expósito,es ESP,MF,28-281,,8,716.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,2.0,2.7,17.0,47.0,32.0,0.0,0.25,0.25,0.0,0.25,0.08,0.25,0.34,0.08,0.34,Matches,Espanyol,2024,15.0
481,José Gragera,es ESP,MF,24-160,,7,569.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Espanyol,2024,10.0
482,Sergi Gómez,es ESP,DF,33-042,,6,652.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Espanyol,2024,11.0
483,Walid Cheddira,ma MAR,FW,27-107,,5,612.0,6.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.2,2.1,7.0,11.0,32.0,0.15,0.15,0.29,0.15,0.29,0.13,0.18,0.3,0.13,0.3,Matches,Espanyol,2024,20.0
484,Irvin Cardona,fr FRA,"FW,MF",27-274,,5,606.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.6,1.7,14.0,15.0,43.0,0.15,0.15,0.3,0.15,0.3,0.16,0.09,0.25,0.16,0.25,Matches,Espanyol,2024,16.0
485,Álvaro Aguado,es ESP,MF,29-008,,4,431.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,13.0,36.0,3.0,0.0,0.21,0.21,0.0,0.21,0.09,0.12,0.22,0.09,0.22,Matches,Espanyol,2024,15.0
486,Fernando Calero,es ESP,"DF,MF",29-237,,3,481.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,8.0,1.0,0.19,0.0,0.19,0.19,0.19,0.05,0.01,0.06,0.05,0.06,Matches,Espanyol,2024,17.0
487,Justin Smith,ca CAN,MF,22-094,,3,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Espanyol,2024,5.0
488,Rafael Bauza,es ESP,MF,20-099,,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Espanyol,2024,5.0
489,Pere Milla,es ESP,"MF,FW",32-228,,1,316.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,8.0,6.0,21.0,0.28,0.0,0.28,0.28,0.28,0.17,0.03,0.19,0.17,0.19,Matches,Espanyol,2024,16.0
490,Naci Ünüvar,nl NED,"MF,DF",21-330,,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.14,0.23,Matches,Espanyol,2024,2.0
491,Roger Hinojo,es ESP,DF,20-077,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Espanyol,2024,1.0
492,Alex Almansa,es ESP,FW,21-182,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
493,Català,es ESP,DF,20-266,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
494,Fortuño,es ESP,GK,23-216,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
495,José López,es ESP,DF,19-128,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
496,Fernando Pacheco,es ESP,GK,32-356,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
497,Pablo Ramon,es ESP,DF,23-313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
498,Omar Sadik,ma MAR,FW,21-048,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
499,Salvi,es ESP,MF,34-040,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
500,Llorenç Serred,es ESP,GK,19-247,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
501,Pol Tristán,es ESP,GK,23-052,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Espanyol,2024,0.0
502,Paulo Gazzaniga,ar ARG,GK,33-127,34.0,34,3015.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,2024,
503,Miguel Gutiérrez,es ESP,"DF,MF",23-286,29.0,29,2458.0,27.3,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,4.1,5.8,63.0,103.0,199.0,0.04,0.18,0.22,0.04,0.22,0.06,0.15,0.21,0.06,0.21,Matches,Girona,2024,
504,Daley Blind,nl NED,DF,35-061,30.0,27,2420.0,26.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.6,2.0,64.0,242.0,49.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.07,0.02,0.07,Matches,Girona,2024,
505,Arnau Martinez,es ESP,"DF,MF",22-014,28.0,26,2309.0,25.7,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,1.8,3.1,34.0,146.0,86.0,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12,Matches,Girona,2024,
506,David López,es ESP,DF,35-212,27.0,25,2250.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.1,0.8,16.0,119.0,7.0,0.04,0.0,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,Matches,Girona,2024,
507,Ladislav Krejčí,cz CZE,DF,26-019,25.0,24,2170.0,24.1,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.7,1.7,0.3,2.0,28.0,132.0,6.0,0.08,0.0,0.08,0.08,0.08,0.07,0.01,0.08,0.07,0.08,Matches,Girona,2024,
508,Yangel Herrera,ve VEN,MF,27-115,26.0,24,2010.0,22.3,4.0,3.0,7.0,4.0,0.0,0.0,9.0,1.0,3.5,3.5,1.5,5.0,26.0,105.0,87.0,0.18,0.13,0.31,0.18,0.31,0.16,0.07,0.22,0.16,0.22,Matches,Girona,2024,
509,Iván Martín,es ESP,MF,26-084,28.0,22,1836.0,20.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.8,3.0,51.0,118.0,66.0,0.05,0.05,0.1,0.05,0.1,0.06,0.09,0.15,0.06,0.15,Matches,Girona,2024,
510,Bryan Gil,es ESP,"FW,MF",24-087,25.0,21,1721.0,19.1,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,2.9,5.2,76.0,74.0,210.0,0.16,0.16,0.31,0.16,0.31,0.12,0.15,0.27,0.12,0.27,Matches,Girona,2024,
511,Viktor Tsyhankov,ua UKR,"FW,MF",27-175,23.0,19,1582.0,17.6,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,2.8,5.3,47.0,59.0,164.0,0.11,0.23,0.34,0.11,0.34,0.14,0.16,0.3,0.14,0.3,Matches,Girona,2024,
512,Donny van de Beek,nl NED,MF,28-021,26.0,16,1421.0,15.8,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,3.2,4.7,17.0,45.0,85.0,0.13,0.13,0.25,0.13,0.25,0.1,0.21,0.3,0.09,0.3,Matches,Girona,2024,
513,Oriol Romeu,es ESP,MF,33-227,22.0,16,1244.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.3,0.4,19.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Girona,2024,
514,Abel Ruiz,es ESP,FW,25-101,19.0,16,1226.0,13.6,4.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,4.6,3.0,0.4,3.4,20.0,20.0,69.0,0.29,0.0,0.29,0.22,0.22,0.33,0.03,0.37,0.22,0.25,Matches,Girona,2024,
515,Arnaut Danjuma,nl NED,"FW,MF",28-098,23.0,15,1310.0,14.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.6,3.6,1.6,5.2,91.0,41.0,179.0,0.14,0.0,0.14,0.14,0.14,0.25,0.11,0.36,0.25,0.36,Matches,Girona,2024,
516,Yaser Asprilla,co COL,"FW,MF",21-171,23.0,12,1130.0,12.6,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.7,1.7,2.0,3.6,54.0,68.0,111.0,0.24,0.0,0.24,0.24,0.24,0.13,0.16,0.29,0.13,0.29,Matches,Girona,2024,
517,Bojan Miovski,mk MKD,FW,25-319,16.0,12,851.0,9.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.2,2.9,4.0,4.0,33.0,0.21,0.11,0.32,0.21,0.32,0.29,0.02,0.3,0.29,0.3,Matches,Girona,2024,
518,Alejandro Francés,es ESP,DF,22-281,14.0,11,957.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,14.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Girona,2024,
519,Arthur Melo,br BRA,MF,28-270,11.0,7,659.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,18.0,55.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Girona,2024,
520,Juanpe,es ESP,DF,34-009,10.0,7,610.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Girona,2024,
521,Cristhian Stuani,uy URU,FW,38-209,28.0,3,830.0,9.2,9.0,2.0,11.0,6.0,3.0,3.0,3.0,0.0,6.8,4.6,0.6,5.2,1.0,7.0,28.0,0.98,0.22,1.19,0.65,0.87,0.74,0.07,0.81,0.49,0.56,Matches,Girona,2024,
522,Portu,es ESP,"FW,MF",32-353,23.0,3,560.0,6.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.6,2.2,16.0,14.0,71.0,0.0,0.32,0.32,0.0,0.32,0.1,0.25,0.35,0.1,0.35,Matches,Girona,2024,
523,Jhon Solis,co COL,MF,20-218,15.0,2,472.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.7,8.0,27.0,13.0,0.19,0.0,0.19,0.19,0.19,0.13,0.01,0.14,0.13,0.14,Matches,Girona,2024,
524,Silvi Clúa,es ESP,MF,20-100,4.0,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Girona,2024,
525,Gabriel Osei Misehouy,nl NED,"FW,MF",19-295,9.0,1,257.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,5.0,15.0,22.0,0.35,0.0,0.35,0.35,0.35,0.31,0.09,0.41,0.31,0.41,Matches,Girona,2024,
526,Iker Almena,es ESP,"FW,DF",21-005,2.0,0,48.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,6.0,2.0,10.0,0.0,1.87,1.87,0.0,1.87,0.06,1.27,1.33,0.06,1.33,Matches,Girona,2024,
527,Papa Ba,es ESP,MF,20-239,1.0,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Girona,2024,
528,Pau López,es ESP,GK,30-147,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,2024,
