,Player,Nation,Pos,Age,playing_time_MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,MP
214,Shumaira Mheuka,eng ENG,MF,17-201,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,Matches,Chelsea,2024,
215,Aaron Anselmino,ar ARG,DF,20-010,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
216,Genesis Antwi,se SWE,MF,17-363,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
217,Marcus Bettinelli,eng ENG,GK,32-350,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
218,Cesare Casadei,it ITA,MF,22-119,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
219,Samuel Rak-Sakyi,eng ENG,MF,20-043,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
220,Ishé Samuels-Smith,eng ENG,DF,18-338,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea,2024,
221,Dean Henderson,eng ENG,GK,28-058,35.0,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
222,Tyrick Mitchell,eng ENG,DF,25-250,35.0,35,2942.0,32.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,5.7,7.0,56.0,64.0,166.0,0.0,0.12,0.12,0.0,0.12,0.04,0.18,0.21,0.04,0.21,Matches,Crystal Palace,2024,
223,Daniel Muñoz,co COL,DF,28-348,34.0,34,2958.0,32.9,4.0,4.0,8.0,4.0,0.0,0.0,10.0,0.0,4.7,4.7,4.5,9.1,54.0,89.0,191.0,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28,Matches,Crystal Palace,2024,
224,Marc Guéhi,eng ENG,DF,24-300,33.0,33,2969.0,33.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,2.0,2.0,1.5,3.5,22.0,128.0,10.0,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches,Crystal Palace,2024,
225,Maxence Lacroix,fr FRA,DF,25-033,32.0,32,2846.0,31.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,0.8,3.9,8.0,61.0,7.0,0.03,0.03,0.06,0.03,0.06,0.1,0.02,0.12,0.1,0.12,Matches,Crystal Palace,2024,
226,Jean-Philippe Mateta,fr FRA,FW,27-315,34.0,31,2517.0,28.0,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,12.1,10.6,3.1,13.6,38.0,47.0,114.0,0.5,0.07,0.57,0.43,0.5,0.43,0.11,0.54,0.38,0.49,Matches,Crystal Palace,2024,
227,Eberechi Eze,eng ENG,"MF,FW",26-314,31.0,29,2427.0,27.0,5.0,8.0,13.0,4.0,1.0,2.0,1.0,0.0,9.1,7.5,5.2,12.7,67.0,89.0,143.0,0.19,0.3,0.48,0.15,0.44,0.34,0.19,0.53,0.28,0.47,Matches,Crystal Palace,2024,
228,Ismaila Sarr,sn SEN,"MF,FW",27-073,35.0,27,2482.0,27.6,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,9.1,9.1,7.1,16.2,69.0,79.0,169.0,0.25,0.15,0.4,0.25,0.4,0.33,0.26,0.59,0.33,0.59,Matches,Crystal Palace,2024,
229,Jefferson Lerma,co COL,"MF,DF",30-196,30.0,23,2034.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,1.5,2.5,11.0,86.0,25.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,Matches,Crystal Palace,2024,
230,Will Hughes,eng ENG,MF,30-022,30.0,21,1899.0,21.1,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,2.7,3.8,19.0,83.0,24.0,0.0,0.14,0.14,0.0,0.14,0.05,0.13,0.18,0.05,0.18,Matches,Crystal Palace,2024,
231,Chris Richards,us USA,DF,25-042,21.0,19,1652.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,0.1,1.4,5.0,35.0,1.0,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.08,0.07,0.08,Matches,Crystal Palace,2024,
232,Adam Wharton,eng ENG,MF,20-341,20.0,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,Matches,Crystal Palace,2024,
233,Daichi Kamada,jp JPN,MF,28-277,31.0,14,1424.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,1.8,2.9,24.0,80.0,54.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18,Matches,Crystal Palace,2024,
234,Trevoh Chalobah,eng ENG,DF,25-308,12.0,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,11.0,34.0,6.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches,Crystal Palace,2024,
235,Eddie Nketiah,eng ENG,"FW,MF",25-344,26.0,8,895.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,4.5,4.5,1.6,6.1,38.0,17.0,68.0,0.1,0.1,0.2,0.1,0.2,0.45,0.16,0.62,0.45,0.62,Matches,Crystal Palace,2024,
236,Nathaniel Clyne,eng ENG,"DF,MF",34-034,13.0,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Crystal Palace,2024,
237,Cheick Doucouré,ml MLI,MF,25-121,13.0,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Crystal Palace,2024,
238,Justin Devenny,nir NIR,MF,21-210,20.0,4,429.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,4.0,16.0,12.0,0.21,0.0,0.21,0.21,0.21,0.14,0.09,0.22,0.14,0.22,Matches,Crystal Palace,2024,
239,Odsonne Édouard,fr FRA,"MF,FW",27-113,2.0,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,Matches,Crystal Palace,2024,
240,Joachim Andersen,dk DEN,DF,28-343,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal Palace,2024,
241,Chadi Riad,ma MAR,DF,21-326,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
242,Ben Chilwell,eng ENG,DF,28-139,6.0,0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches,Crystal Palace,2024,
243,Jeffrey Schlupp,gh GHA,"MF,DF",32-137,12.0,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,Crystal Palace,2024,
244,Romain Esse,eng ENG,MF,19-361,4.0,0,34.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.0,1.0,6.0,2.65,0.0,2.65,2.65,2.65,0.83,0.35,1.17,0.83,1.17,Matches,Crystal Palace,2024,
245,Matheus França,br BRA,"FW,MF",21-038,2.0,0,26.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,3.46,0.0,3.46,3.46,3.46,0.43,0.0,0.43,0.43,0.43,Matches,Crystal Palace,2024,
246,Jordan Ayew,gh GHA,"FW,MF",33-240,1.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,Matches,Crystal Palace,2024,
247,Caleb Kporha,eng ENG,DF,18-298,2.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
248,Asher Agbinone,eng ENG,MF,19-223,2.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches,Crystal Palace,2024,
249,Joel Ward,eng ENG,DF,35-192,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal Palace,2024,
250,Naouirou Ahamada,fr FRA,MF,23-041,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
251,Rob Holding,eng ENG,DF,29-231,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
252,Sam Johnstone,eng ENG,GK,32-045,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
253,Zachariah Marsh,eng ENG,FW,19-215,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
254,Remi Matthews,eng ENG,GK,31-088,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
255,Kaden Rodney,eng ENG,"DF,MF",20-214,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
256,Matt Turner,us USA,GK,30-319,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
257,Franco Umeh-Chibueze,ie IRL,MF,20-103,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace,2024,
258,Jordan Pickford,eng ENG,GK,31-063,,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,Everton,2024,35.0
259,James Tarkowski,eng ENG,DF,32-171,,33,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.9,4.2,9.0,75.0,3.0,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches,Everton,2024,33.0
260,Vitaliy Mykolenko,ua UKR,DF,25-345,,32,2812.0,31.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.6,2.1,31.0,105.0,90.0,0.0,0.03,0.03,0.0,0.03,0.01,0.05,0.07,0.01,0.07,Matches,Everton,2024,32.0
261,Idrissa Gana Gueye,sn SEN,MF,35-225,,32,2794.0,31.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.7,2.8,26.0,134.0,24.0,0.0,0.1,0.1,0.0,0.1,0.03,0.05,0.09,0.03,0.09,Matches,Everton,2024,34.0
262,Abdoulaye Doucouré,ml MLI,MF,32-128,,29,2425.0,26.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,3.9,3.9,2.3,6.2,40.0,78.0,91.0,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches,Everton,2024,30.0
263,Iliman Ndiaye,sn SEN,FW,25-064,,27,2252.0,25.0,7.0,0.0,7.0,5.0,2.0,2.0,3.0,0.0,5.2,3.6,1.6,5.2,81.0,50.0,115.0,0.28,0.0,0.28,0.2,0.2,0.21,0.06,0.27,0.15,0.21,Matches,Everton,2024,30.0
264,Jarrad Branthwaite,eng ENG,DF,22-316,,26,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.7,1.8,9.0,61.0,2.0,0.0,0.04,0.04,0.0,0.04,0.04,0.03,0.07,0.04,0.07,Matches,Everton,2024,28.0
265,Jack Harrison,eng ENG,FW,28-170,,22,1900.0,21.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3,3.3,3.7,7.0,64.0,45.0,116.0,0.05,0.0,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches,Everton,2024,31.0
266,Dominic Calvert-Lewin,eng ENG,FW,28-054,,19,1588.0,17.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,6.2,6.2,0.6,6.8,22.0,19.0,107.0,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.38,0.35,0.38,Matches,Everton,2024,23.0
267,Ashley Young,eng ENG,"DF,FW",39-304,,17,1622.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.3,0.3,1.6,1.8,20.0,83.0,27.0,0.06,0.17,0.22,0.06,0.22,0.01,0.09,0.1,0.01,0.1,Matches,Everton,2024,29.0
268,Jake O'Brien,ie IRL,DF,23-359,,15,1391.0,15.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,1.3,7.0,43.0,24.0,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08,Matches,Everton,2024,18.0
269,Jesper Lindstrøm,dk DEN,FW,25-069,,15,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,2.0,4.1,30.0,25.0,81.0,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3,Matches,Everton,2024,25.0
270,James Garner,eng ENG,"MF,DF",24-057,,14,1324.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,12.0,46.0,22.0,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,Matches,Everton,2024,18.0
271,Dwight McNeil,eng ENG,"MF,FW",25-168,,14,1262.0,14.0,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,3.8,4.8,35.0,63.0,74.0,0.29,0.29,0.57,0.29,0.57,0.08,0.27,0.35,0.08,0.35,Matches,Everton,2024,18.0
272,Orel Mangala,be BEL,MF,27-052,,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.8,6.0,34.0,19.0,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches,Everton,2024,19.0
273,Beto,gw GNB,FW,27-098,,12,1268.0,14.1,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,6.6,6.6,0.8,7.3,12.0,10.0,66.0,0.5,0.0,0.5,0.5,0.5,0.47,0.06,0.52,0.47,0.52,Matches,Everton,2024,27.0
274,Michael Keane,eng ENG,DF,32-118,,9,852.0,9.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,1.0,12.0,3.0,0.21,0.0,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches,Everton,2024,11.0
275,Carlos Alcaraz,ar ARG,"FW,MF",22-160,,5,580.0,6.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.5,2.8,15.0,37.0,17.0,0.16,0.31,0.47,0.16,0.47,0.21,0.23,0.43,0.21,0.43,Matches,Everton,2024,12.0
276,Tim Iroegbunam,eng ENG,MF,21-313,,5,567.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,8.0,14.0,9.0,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,Matches,Everton,2024,17.0
277,Armando Broja,al ALB,FW,23-241,,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,12.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Everton,2024,10.0
278,Nathan Patterson,sct SCO,DF,23-205,,3,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,6.0,13.0,18.0,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13,Matches,Everton,2024,10.0
279,Séamus Coleman,ie IRL,DF,36-210,,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Everton,2024,3.0
280,Roman Dixon,eng ENG,DF,20-134,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,1.0
281,Harrison Armstrong,eng ENG,MF,18-110,,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,Matches,Everton,2024,3.0
282,Youssef Chermiti,pt POR,"FW,MF",20-350,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Everton,2024,4.0
283,Mason Holgate,eng ENG,"FW,DF",28-199,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,2024,1.0
284,Callum Bates,eng ENG,MF,19-223,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
285,Asmir Begović,ba BIH,GK,37-323,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
286,Coby Ebere,de GER,MF,19-234,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
287,Isaac Heath,eng ENG,FW,20-193,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
288,Neal Maupay,fr FRA,"FW,MF",28-268,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
289,Jenson Metcalfe,eng ENG,MF,20-245,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
290,Martin Sherif,nl NED,FW,18-333,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
291,João Virgínia,pt POR,GK,25-211,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton,2024,0.0
292,Bernd Leno,de GER,GK,33-066,35.0,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,2024,
293,Antonee Robinson,us USA,DF,27-274,34.0,33,2989.0,33.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.1,4.8,114.0,123.0,265.0,0.0,0.3,0.3,0.0,0.3,0.02,0.12,0.15,0.02,0.15,Matches,Fulham,2024,
294,Alex Iwobi,ng NGA,"FW,MF",29-006,35.0,33,2796.0,31.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,4.6,4.6,6.9,11.5,135.0,199.0,224.0,0.29,0.19,0.48,0.29,0.48,0.15,0.22,0.37,0.15,0.37,Matches,Fulham,2024,
295,Calvin Bassey,ng NGA,DF,25-129,33.0,32,2894.0,32.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.1,1.2,36.0,107.0,15.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.04,0.03,0.04,Matches,Fulham,2024,
296,Raúl Jiménez,mx MEX,FW,34-004,35.0,27,2224.0,24.7,10.0,3.0,13.0,7.0,3.0,3.0,4.0,0.0,11.2,8.8,3.2,12.0,32.0,56.0,119.0,0.4,0.12,0.53,0.28,0.4,0.45,0.13,0.58,0.36,0.48,Matches,Fulham,2024,
297,Joachim Andersen,dk DEN,DF,28-343,26.0,26,2313.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.3,1.3,13.0,105.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Fulham,2024,
298,Saša Lukić,rs SRB,MF,28-269,28.0,26,2169.0,24.1,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,1.2,1.2,2.6,3.8,37.0,92.0,29.0,0.0,0.08,0.08,0.0,0.08,0.05,0.11,0.16,0.05,0.16,Matches,Fulham,2024,
299,Sander Berge,no NOR,MF,27-084,28.0,24,2091.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.6,0.8,27.0,116.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,Matches,Fulham,2024,
300,Emile Smith Rowe,eng ENG,MF,24-285,31.0,23,1886.0,21.0,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,4.4,4.4,1.1,5.5,50.0,120.0,115.0,0.29,0.1,0.38,0.29,0.38,0.21,0.05,0.26,0.21,0.26,Matches,Fulham,2024,
301,Andreas Pereira,br BRA,MF,29-128,31.0,23,1879.0,20.9,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.5,2.7,4.5,7.2,27.0,99.0,78.0,0.1,0.19,0.29,0.1,0.29,0.17,0.21,0.38,0.13,0.34,Matches,Fulham,2024,
302,Kenny Tete,nl NED,DF,29-212,19.0,18,1504.0,16.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,33.0,50.0,47.0,0.0,0.12,0.12,0.0,0.12,0.07,0.05,0.13,0.07,0.13,Matches,Fulham,2024,
303,Timothy Castagne,be BEL,DF,29-155,24.0,17,1649.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,17.0,62.0,67.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,Matches,Fulham,2024,
304,Adama Traoré,es ESP,"FW,MF",29-104,33.0,16,1592.0,17.7,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,3.9,3.9,4.7,8.6,89.0,61.0,145.0,0.11,0.34,0.45,0.11,0.45,0.22,0.27,0.49,0.22,0.49,Matches,Fulham,2024,
305,Issa Diop,fr FRA,DF,28-120,21.0,15,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,6.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,Fulham,2024,
306,Harry Wilson,wls WAL,"FW,MF",28-048,22.0,10,1003.0,11.1,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,3.7,3.7,1.1,4.8,17.0,48.0,83.0,0.45,0.09,0.54,0.45,0.54,0.33,0.1,0.43,0.33,0.43,Matches,Fulham,2024,
307,Rodrigo Muniz,br BRA,FW,24-005,31.0,8,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,5.8,5.8,0.7,6.5,6.0,27.0,31.0,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches,Fulham,2024,
308,Ryan Sessegnon,eng ENG,"FW,DF",24-356,13.0,6,470.0,5.2,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,2.5,14.0,14.0,51.0,0.77,0.38,1.15,0.77,1.15,0.3,0.18,0.49,0.3,0.49,Matches,Fulham,2024,
309,Reiss Nelson,eng ENG,FW,25-150,11.0,5,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,45.0,35.0,63.0,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,Matches,Fulham,2024,
310,Jorge Cuenca,es ESP,DF,25-173,6.0,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Fulham,2024,
311,Tom Cairney,sct SCO,MF,34-109,22.0,2,494.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,1.0,1.2,14.0,47.0,29.0,0.18,0.0,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,Matches,Fulham,2024,
312,Willian,br BRA,"FW,MF",36-273,9.0,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,9.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1,0.17,0.27,0.1,0.27,Matches,Fulham,2024,
313,Joshua King,eng ENG,"MF,FW",18-126,5.0,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.22,0.48,0.7,0.22,0.7,Matches,Fulham,2024,
314,Harrison Reed,eng ENG,MF,30-102,12.0,0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,Fulham,2024,
