,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
19,Raheem Sterling,eng ENG,"FW,MF",30-150,16.0,6,437.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.8,25.0,17.0,73.0,0.0,0.41,0.41,0.0,0.41,0.27,0.1,0.37,0.27,0.37,Matches,Arsenal,2024,
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-143,13.0,4,455.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,10.0,37.0,12.0,0.0,0.2,0.2,0.0,0.2,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal,2024,
21,Kieran Tierney,sct SCO,"DF,FW",27-336,10.0,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,5.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.43,0.53,0.1,0.53,Matches,Arsenal,2024,
22,Nathan Butler-Oyedeji,eng ENG,FW,22-123,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches,Arsenal,2024,
23,Takehiro Tomiyasu,jp JPN,DF,26-183,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,2024,
24,Reiss Nelson,eng ENG,FW,25-148,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,2024,
25,Brayden Clarke,wls WAL,DF,17-308,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
26,Jimi Gower,eng ENG,MF,20-218,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
27,Ayden Heaven,eng ENG,DF,18-227,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
28,Jack Henry-Francis,ie IRL,MF,21-226,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
29,Ismeal Kabia,eng ENG,MF,19-148,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
30,Maldini Kacurri,al ALB,DF,19-215,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
31,Neto,br BRA,GK,35-292,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
32,Josh Nichols,eng ENG,DF,18-285,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,2024,
