,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
19,Enes Ünal,tr TUR,"FW,MF",27-362,17.0,2,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,4.0,12.0,22.0,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches,Bournemouth,2024,
20,Neto,br BRA,GK,35-292,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
21,Luis Sinisterra,co COL,"FW,MF",25-324,12.0,1,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.4,2.6,19.0,6.0,38.0,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,Matches,Bournemouth,2024,
22,Philip Billing,dk DEN,MF,28-330,10.0,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,3.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,Matches,Bournemouth,2024,
23,Max Aarons,eng ENG,DF,25-123,3.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
24,Daniel Jebbison,eng ENG,FW,21-267,13.0,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.45,0.23,0.45,Matches,Bournemouth,2024,
25,Ben Winterburn,eng ENG,"FW,MF",20-245,3.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
26,Julio Soler,ar ARG,FW,20-080,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
27,Remy Rees-Dottin,eng ENG,FW,19-062,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
28,Zain Silcott-Duberry,ms MSR,FW,19-302,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
29,Daniel Adu-Adjei,eng ENG,FW,19-320,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
30,Matai Akinmboni,us USA,DF,18-202,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
31,Jaidon Anthony,eng ENG,"FW,MF",25-157,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
32,Will Dennis,eng ENG,GK,24-301,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
33,Archie Harris,eng ENG,DF,20-131,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
34,Hamed Junior Traorè,ci CIV,"FW,MF",25-080,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
35,Callan Mckenna,sct SCO,GK,18-136,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
36,Dominic Sadi,eng ENG,MF,21-247,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
37,Maxwell Wellings,eng ENG,DF,20-094,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
0,Nathan Collins,ie IRL,DF,24-007,35.0,35,3150.0,35.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,1.8,4.3,28.0,117.0,18.0,0.06,0.09,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches,Brentford,2024,
1,Bryan Mbeumo,cm CMR,FW,25-273,35.0,35,3144.0,34.9,18.0,6.0,24.0,13.0,5.0,5.0,3.0,0.0,10.8,6.9,8.0,14.9,118.0,128.0,319.0,0.52,0.17,0.69,0.37,0.54,0.31,0.23,0.54,0.2,0.43,Matches,Brentford,2024,
2,Mark Flekken,nl NED,GK,31-328,34.0,34,3005.0,33.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.02,0.02,0.0,0.02,Matches,Brentford,2024,
3,Keane Lewis-Potter,eng ENG,"DF,FW",24-074,35.0,33,2839.0,31.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,3.0,5.6,92.0,90.0,144.0,0.03,0.1,0.13,0.03,0.13,0.08,0.1,0.18,0.08,0.18,Matches,Brentford,2024,
4,Mikkel Damsgaard,dk DEN,"MF,FW",24-308,35.0,31,2658.0,29.5,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,7.8,10.4,64.0,213.0,121.0,0.07,0.34,0.41,0.07,0.41,0.09,0.26,0.35,0.09,0.35,Matches,Brentford,2024,
5,Yoane Wissa,cd COD,FW,28-246,32.0,31,2650.0,29.4,18.0,3.0,21.0,18.0,0.0,0.0,2.0,0.0,16.5,16.5,1.8,18.3,51.0,57.0,135.0,0.61,0.1,0.71,0.61,0.71,0.56,0.06,0.62,0.56,0.62,Matches,Brentford,2024,
6,Christian Nørgaard,dk DEN,MF,31-058,31.0,31,2549.0,28.3,5.0,3.0,8.0,5.0,0.0,0.0,6.0,1.0,3.9,3.9,1.0,5.0,12.0,133.0,37.0,0.18,0.11,0.28,0.18,0.28,0.14,0.04,0.17,0.14,0.17,Matches,Brentford,2024,
7,Vitaly Janelt,de GER,MF,26-362,32.0,27,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,2.2,3.0,17.0,80.0,38.0,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches,Brentford,2024,
8,Sepp van den Berg,nl NED,DF,23-138,28.0,26,2316.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.7,1.7,0.5,2.2,10.0,72.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Brentford,2024,
9,Kevin Schade,de GER,FW,23-161,35.0,23,2069.0,23.0,10.0,2.0,12.0,10.0,0.0,0.0,3.0,0.0,7.7,7.7,3.4,11.1,56.0,32.0,146.0,0.43,0.09,0.52,0.43,0.52,0.33,0.15,0.48,0.33,0.48,Matches,Brentford,2024,
10,Ethan Pinnock,jm JAM,DF,31-343,22.0,21,1913.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.3,3.0,41.0,9.0,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches,Brentford,2024,
11,Kristoffer Ajer,no NOR,DF,27-020,22.0,17,1405.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.2,2.1,27.0,54.0,42.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,Brentford,2024,
12,Yehor Yarmoliuk,ua UKR,MF,21-067,28.0,12,1196.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.9,1.5,15.0,52.0,44.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.11,0.05,0.11,Matches,Brentford,2024,
13,Mads Roerslev,dk DEN,DF,25-317,19.0,11,1101.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,3.0,3.2,17.0,51.0,54.0,0.0,0.16,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,Matches,Brentford,2024,
14,Mathias Jensen,dk DEN,MF,29-126,21.0,8,816.0,9.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.6,1.8,6.0,56.0,26.0,0.0,0.22,0.22,0.0,0.22,0.03,0.18,0.2,0.03,0.2,Matches,Brentford,2024,
15,Fabio Carvalho,pt POR,"FW,MF",22-250,19.0,3,455.0,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,0.7,3.2,9.0,17.0,23.0,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,Matches,Brentford,2024,
16,Michael Kayode,it ITA,DF,20-301,9.0,3,291.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.1,8.0,5.0,16.0,0.0,0.31,0.31,0.0,0.31,0.02,0.3,0.33,0.02,0.33,Matches,Brentford,2024,
17,Ben Mee,eng ENG,DF,35-228,7.0,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
18,Hákon Rafn Valdimarsson,is ISL,GK,23-206,2.0,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
19,Thiago,br BRA,FW,23-315,5.0,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches,Brentford,2024,
20,Edmond-Paris Maghoma,eng ENG,"MF,FW",23-364,8.0,0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches,Brentford,2024,
21,Rico Henry,eng ENG,DF,27-303,4.0,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
22,Yunus Emre Konak,tr TUR,"FW,MF",19-117,9.0,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches,Brentford,2024,
23,Kim Jisoo,kr KOR,DF,20-134,3.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
24,Frank Onyeka,ng NGA,MF,27-126,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
25,Gustavo Nunes,br BRA,"FW,MF",19-168,3.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
26,Jayden Meghoma,eng ENG,DF,18-313,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
27,Ryan Trevitt,eng ENG,MF,22-056,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,
28,Benjamin Arthur,eng ENG,DF,19-210,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
29,Julian Eyestone,us USA,GK,19-016,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
30,Benjamin Fredrick,ng NGA,DF,19-344,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
31,Iwan Morgan,wls WAL,FW,19-098,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
32,Myles Peart-Harris,eng ENG,MF,22-231,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
33,Tony Yogane,eng ENG,MF,19-225,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,
0,Bart Verbruggen,nl NED,GK,22-262,33.0,33,2970.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
1,Jan Paul van Hecke,nl NED,DF,24-333,31.0,30,2688.0,29.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1.3,1.3,1.5,2.7,53.0,216.0,5.0,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,Matches,Brighton and Hove Albion,2024,
2,Kaoru Mitoma,jp JPN,"FW,MF",27-352,33.0,28,2521.0,28.0,9.0,3.0,12.0,9.0,0.0,0.0,1.0,0.0,8.8,8.8,4.4,13.2,138.0,82.0,277.0,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches,Brighton and Hove Albion,2024,
3,Carlos Baleba,cm CMR,MF,21-124,31.0,28,2403.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,3.0,3.0,1.3,4.3,40.0,111.0,27.0,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.16,0.11,0.16,Matches,Brighton and Hove Albion,2024,
4,Pervis Estupiñán,ec ECU,DF,27-106,28.0,24,2222.0,24.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,2.1,3.1,55.0,116.0,107.0,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.13,0.04,0.13,Matches,Brighton and Hove Albion,2024,
5,Lewis Dunk,eng ENG,DF,33-167,25.0,23,2083.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.5,1.3,20.0,142.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,Brighton and Hove Albion,2024,
6,João Pedro,br BRA,"FW,MF",23-223,27.0,23,1948.0,21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,8.9,5.0,5.0,10.0,66.0,78.0,128.0,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches,Brighton and Hove Albion,2024,
7,Danny Welbeck,eng ENG,FW,34-162,28.0,22,1942.0,21.6,9.0,4.0,13.0,9.0,0.0,0.0,5.0,0.0,8.1,8.1,1.2,9.3,19.0,42.0,83.0,0.42,0.19,0.6,0.42,0.6,0.38,0.06,0.43,0.38,0.43,Matches,Brighton and Hove Albion,2024,
8,Jack Hinshelwood,eng ENG,"DF,MF",20-026,23.0,21,1744.0,19.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,1.3,2.8,18.0,63.0,47.0,0.1,0.1,0.21,0.1,0.21,0.08,0.07,0.14,0.08,0.14,Matches,Brighton and Hove Albion,2024,
9,Yasin Ayari,se SWE,MF,21-213,31.0,19,1759.0,19.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,2.2,4.4,30.0,69.0,59.0,0.05,0.05,0.1,0.05,0.1,0.11,0.11,0.23,0.11,0.23,Matches,Brighton and Hove Albion,2024,
10,Joël Veltman,nl NED,DF,33-112,20.0,19,1665.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.5,0.9,30.0,80.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Brighton and Hove Albion,2024,
11,Georginio Rutter,fr FRA,"MF,FW",23-017,28.0,19,1656.0,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,2.5,7.1,42.0,67.0,79.0,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches,Brighton and Hove Albion,2024,
12,Yankuba Minteh,gm GAM,"FW,MF",20-289,29.0,17,1587.0,17.6,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,4.0,4.0,4.7,8.7,71.0,40.0,163.0,0.34,0.23,0.57,0.34,0.57,0.22,0.27,0.49,0.22,0.49,Matches,Brighton and Hove Albion,2024,
13,Simon Adingra,ci CIV,"FW,MF",23-126,26.0,10,956.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.2,2.2,1.8,4.0,37.0,14.0,119.0,0.19,0.09,0.28,0.19,0.28,0.21,0.17,0.38,0.21,0.38,Matches,Brighton and Hove Albion,2024,
14,Matt O'Riley,dk DEN,MF,24-167,18.0,10,847.0,9.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.7,3.6,19.0,34.0,47.0,0.11,0.11,0.21,0.11,0.21,0.21,0.18,0.39,0.21,0.39,Matches,Brighton and Hove Albion,2024,
15,Igor,br BRA,DF,27-089,12.0,9,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.2,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Brighton and Hove Albion,2024,
16,Tariq Lamptey,gh GHA,DF,24-219,14.0,9,802.0,8.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,28.0,12.0,43.0,0.22,0.22,0.45,0.22,0.45,0.04,0.09,0.13,0.04,0.13,Matches,Brighton and Hove Albion,2024,
17,Adam Webster,eng ENG,DF,30-123,11.0,8,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.08,Matches,Brighton and Hove Albion,2024,
18,Mats Wieffer,nl NED,"MF,DF",25-172,22.0,7,745.0,8.3,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,1.5,2.2,13.0,52.0,18.0,0.12,0.36,0.48,0.12,0.48,0.09,0.18,0.27,0.09,0.27,Matches,Brighton and Hove Albion,2024,
19,Brajan Gruda,de GER,"FW,MF",20-341,18.0,6,508.0,5.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,16.0,17.0,47.0,0.0,0.53,0.53,0.0,0.53,0.07,0.27,0.34,0.07,0.34,Matches,Brighton and Hove Albion,2024,
20,Ferdi Kadioglu,tr TUR,"DF,MF",25-212,6.0,5,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches,Brighton and Hove Albion,2024,
21,Diego Gómez,py PAR,MF,22-041,13.0,4,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,5.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.25,0.15,0.25,Matches,Brighton and Hove Albion,2024,
22,James Milner,eng ENG,MF,39-123,3.0,3,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,Matches,Brighton and Hove Albion,2024,
23,Julio Enciso,py PAR,"MF,FW",21-104,12.0,2,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,11.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,Matches,Brighton and Hove Albion,2024,
24,Evan Ferguson,ie IRL,FW,20-200,13.0,2,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,1.0,2.0,1.0,9.0,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,Matches,Brighton and Hove Albion,2024,
25,Jason Steele,eng ENG,GK,34-262,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
26,Solly March,eng ENG,"FW,MF",30-291,8.0,1,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,5.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.19,0.05,0.19,Matches,Brighton and Hove Albion,2024,
27,Billy Gilmour,sct SCO,MF,23-330,2.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Brighton and Hove Albion,2024,
28,Eiran Cashin,ie IRL,DF,23-179,2.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
29,Jakub Moder,pl POL,MF,26-030,4.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,Matches,Brighton and Hove Albion,2024,
30,Jeremy Sarmiento,ec ECU,MF,22-325,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
31,Valentín Barco,ar ARG,MF,20-288,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
32,Killian Cahill,ie IRL,GK,21-185,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
33,Harry Howell,eng ENG,FW,16-220,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
34,Joe Knight,eng ENG,MF,19-228,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
35,Ruairi Mcconville,nir NIR,DF,20-006,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
36,Mark O'Mahony,ie IRL,FW,20-113,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
37,Carl Rushworth,eng ENG,GK,23-309,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
38,Imari Samuels,eng ENG,DF,22-091,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
39,Freddie Simmonds,eng ENG,DF,17-059,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
40,Jacob Slater,eng ENG,DF,20-214,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
41,Charlie Tasker,eng ENG,DF,19-072,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
0,Moisés Caicedo,ec ECU,"MF,DF",23-186,,35,3081.0,34.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.8,0.8,3.0,3.7,38.0,197.0,33.0,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches,Chelsea,2024,35.0
1,Cole Palmer,eng ENG,MF,23-001,,33,2921.0,32.5,15.0,8.0,23.0,11.0,4.0,5.0,6.0,0.0,17.0,13.0,10.0,23.0,110.0,200.0,169.0,0.46,0.25,0.71,0.34,0.59,0.52,0.31,0.83,0.4,0.71,Matches,Chelsea,2024,34.0
2,Levi Colwill,eng ENG,DF,22-070,,32,2879.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.3,1.3,1.1,2.5,13.0,125.0,11.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches,Chelsea,2024,32.0
3,Marc Cucurella,es ESP,DF,26-289,,30,2718.0,30.2,4.0,1.0,5.0,4.0,0.0,0.0,10.0,1.0,2.6,2.6,2.1,4.7,31.0,107.0,108.0,0.13,0.03,0.17,0.13,0.17,0.09,0.07,0.16,0.09,0.16,Matches,Chelsea,2024,33.0
4,Enzo Fernández,ar ARG,MF,24-110,,29,2677.0,29.7,6.0,7.0,13.0,6.0,0.0,0.0,7.0,0.0,6.0,6.0,6.5,12.5,57.0,199.0,116.0,0.2,0.24,0.44,0.2,0.44,0.2,0.22,0.42,0.2,0.42,Matches,Chelsea,2024,33.0
5,Robert Sánchez,es ESP,GK,27-170,,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,29.0
6,Nicolas Jackson,sn SEN,FW,23-321,,27,2185.0,24.3,10.0,5.0,15.0,10.0,0.0,0.0,7.0,0.0,12.3,12.3,4.3,16.6,46.0,37.0,127.0,0.41,0.21,0.62,0.41,0.62,0.51,0.18,0.68,0.51,0.68,Matches,Chelsea,2024,29.0
