,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
40,Luka Modrić,hr CRO,MF,39-242,16.8,28,18,16,11,1,14,31,45.2,17,14,5,9,23,51,16,0,Matches,Real Madrid,2024
41,Ferland Mendy,fr FRA,DF,29-335,11.2,17,14,7,6,4,9,12,75.0,3,11,4,7,9,26,8,1,Matches,Real Madrid,2024
42,Dani Ceballos,es ESP,MF,28-275,10.8,35,19,15,15,5,16,27,59.3,11,15,3,12,13,48,9,1,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,19,17,14,5,0,7,12,58.3,5,13,8,5,12,31,35,0,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,22,11,8,6,8,7,18,38.9,11,14,0,14,5,27,8,0,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,1,0,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,2,Matches,Atletico Madrid,2024
57,Antoine Griezmann,fr FRA,"FW,MF",34-049,26.0,30,17,13,13,4,7,29,24.1,22,16,1,15,6,36,23,1,Matches,Atletico Madrid,2024
58,Julián Álvarez,ar ARG,FW,25-098,25.2,24,16,5,10,9,8,28,28.6,20,14,0,14,0,24,10,1,Matches,Atletico Madrid,2024
59,Pablo Barrios,es ESP,MF,21-328,24.6,44,25,21,20,3,22,45,48.9,23,14,4,10,33,77,33,7,Matches,Atletico Madrid,2024
60,Marcos Llorente,es ESP,"DF,MF",30-099,23.9,61,45,34,24,3,33,48,68.8,15,27,7,20,22,83,47,1,Matches,Atletico Madrid,2024
61,Giuliano Simeone,ar ARG,MF,22-142,19.0,24,12,6,8,10,14,28,50.0,14,19,2,17,12,36,18,0,Matches,Atletico Madrid,2024
62,Robin Le Normand,es ESP,DF,28-179,20.9,25,16,21,4,0,11,18,61.1,7,17,8,9,8,33,108,1,Matches,Atletico Madrid,2024
63,Clément Lenglet,fr FRA,DF,29-326,19.9,22,14,16,6,0,8,11,72.7,3,24,18,6,20,42,96,1,Matches,Atletico Madrid,2024
64,Rodrigo De Paul,ar ARG,MF,30-350,20.0,28,23,11,13,4,13,30,43.3,17,22,2,20,5,33,13,3,Matches,Atletico Madrid,2024
65,Conor Gallagher,eng ENG,MF,25-092,17.2,42,30,16,16,10,20,46,43.5,26,23,5,18,19,61,23,0,Matches,Atletico Madrid,2024
66,José María Giménez,uy URU,DF,30-109,20.2,22,14,15,7,0,16,27,59.3,11,26,16,10,25,47,104,2,Matches,Atletico Madrid,2024
67,Javi Galán,es ESP,DF,30-171,17.3,48,29,29,15,4,24,46,52.2,22,12,3,9,9,57,41,0,Matches,Atletico Madrid,2024
68,Samuel Lino,br BRA,"MF,DF",25-137,14.4,25,13,20,4,1,18,45,40.0,27,19,4,15,7,32,12,0,Matches,Atletico Madrid,2024
69,Koke,es ESP,MF,33-121,17.9,43,22,17,20,6,20,38,52.6,18,21,2,19,18,61,25,1,Matches,Atletico Madrid,2024
70,Nahuel Molina,ar ARG,DF,27-033,16.0,40,17,19,20,1,29,52,55.8,23,16,3,13,11,51,49,0,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,8,4,2,4,2,3,5,60.0,2,5,1,4,1,9,23,0,Matches,Atletico Madrid,2024
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,23,12,11,8,4,16,22,72.7,6,6,2,4,3,26,27,0,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,13,12,4,8,1,10,12,83.3,2,15,8,7,9,22,32,1,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,11,5,4,6,1,6,11,54.5,5,3,0,3,2,13,3,0,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,8,2,4,1,3,4,14,28.6,10,9,0,9,4,12,7,0,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,0,0,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,17,10,4,8,5,12,23,52.2,11,34,5,29,12,29,32,0,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,37,23,21,13,3,19,30,63.3,11,24,9,15,38,75,120,2,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,29,13,4,16,9,13,26,50.0,13,18,2,16,9,38,17,0,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,76,43,23,40,13,39,74,52.7,35,22,3,19,26,102,28,2,Matches,Athletic Club,2024
84,Nico Williams,es ESP,FW,22-301,21.3,27,17,10,11,6,10,31,32.3,21,19,1,18,6,33,9,0,Matches,Athletic Club,2024
