,Player,Nation,Pos,Age,90s,tackles_Tkl,tackles_TklW,tackles_Def 3rd,tackles_Mid 3rd,tackles_Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,blocks_Blocks,blocks_Sh,blocks_Pass,Int,Tkl+Int,Clr,Err,Matches,Team,Season
178,Carl Starfelt,se SWE,DF,29-342,25.2,40,20,25,14,1,18,27,66.7,9,29,21,8,31,71,129,3,Matches,Celta Vigo,2024
179,Fran Beltrán,es ESP,MF,26-095,23.4,42,30,19,18,5,19,48,39.6,29,23,5,18,23,65,29,3,Matches,Celta Vigo,2024
180,Javi Rodríguez,es ESP,DF,21-317,24.4,47,34,31,16,0,30,43,69.8,13,28,9,19,31,78,86,1,Matches,Celta Vigo,2024
181,Borja Iglesias,es ESP,FW,32-112,19.9,10,9,2,5,3,4,14,28.6,10,8,2,6,6,16,6,0,Matches,Celta Vigo,2024
182,Ilaix Moriba,gn GUI,MF,22-110,19.7,58,36,19,26,13,26,46,56.5,20,23,4,19,13,71,26,1,Matches,Celta Vigo,2024
183,Iago Aspas,es ESP,"FW,MF",37-281,17.7,13,8,4,5,4,8,19,42.1,11,16,1,15,7,20,5,0,Matches,Celta Vigo,2024
184,Sergio Carreira,es ESP,"MF,DF",24-208,16.4,27,16,15,6,6,14,24,58.3,10,18,2,16,17,44,35,0,Matches,Celta Vigo,2024
185,Hugo Álvarez,es ESP,"MF,DF",21-311,16.4,23,9,11,10,2,9,17,52.9,8,18,1,17,8,31,28,1,Matches,Celta Vigo,2024
186,Hugo Sotelo,es ESP,MF,21-141,13.9,28,17,8,10,10,13,30,43.3,17,9,1,8,5,33,9,1,Matches,Celta Vigo,2024
187,Pablo Durán,es ESP,"FW,MF",23-349,13.1,14,9,4,7,3,3,12,25.0,9,8,2,6,8,22,9,0,Matches,Celta Vigo,2024
188,Williot Swedberg,se SWE,"FW,MF",21-097,13.0,19,13,6,9,4,11,17,64.7,6,12,1,11,3,22,9,1,Matches,Celta Vigo,2024
189,Alfon,es ESP,"FW,MF",26-005,13.5,6,2,2,2,2,2,10,20.0,8,6,0,6,4,10,5,1,Matches,Celta Vigo,2024
190,Carlos Dominguez,es ESP,DF,24-087,10.0,20,11,12,8,0,14,19,73.7,5,9,6,3,8,28,51,1,Matches,Celta Vigo,2024
191,Jonathan Bamba,ci CIV,"FW,MF",29-044,9.0,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0,Matches,Celta Vigo,2024
192,Damián Rodríguez,es ESP,MF,22-053,9.8,14,9,3,10,1,6,16,37.5,10,6,1,5,6,20,11,0,Matches,Celta Vigo,2024
193,Javier Manquillo,es ESP,DF,31-004,5.7,7,5,4,3,0,2,10,20.0,8,5,3,2,7,14,14,0,Matches,Celta Vigo,2024
194,Anastasios Douvikas,gr GRE,FW,25-280,7.8,9,4,2,6,1,3,6,50.0,3,5,2,3,3,12,6,0,Matches,Celta Vigo,2024
195,Jailson Siqueira,br BRA,"DF,MF",29-244,6.8,13,11,9,3,1,9,11,81.8,2,6,4,2,9,22,28,1,Matches,Celta Vigo,2024
196,Fer López,,"FW,MF",,5.9,7,3,1,4,2,0,6,0.0,6,8,0,8,2,9,7,0,Matches,Celta Vigo,2024
197,Yoel Lago,es ESP,DF,21-045,4.3,7,4,4,2,1,3,4,75.0,1,3,2,1,4,11,14,0,Matches,Celta Vigo,2024
198,Iván Villar,es ESP,GK,27-304,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,Celta Vigo,2024
199,Iker Losada,es ESP,"FW,MF",23-281,3.8,3,3,0,1,2,1,5,20.0,4,3,0,3,1,4,7,0,Matches,Celta Vigo,2024
200,Franco Cervi,ar ARG,"FW,MF",30-348,2.9,8,3,2,6,0,3,7,42.9,4,4,0,4,8,16,6,0,Matches,Celta Vigo,2024
201,Mihailo Ristić,rs SRB,"MF,DF",29-190,2.7,3,3,2,1,0,1,3,33.3,2,0,0,0,1,4,6,0,Matches,Celta Vigo,2024
202,Luca de la Torre,us USA,MF,26-351,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Celta Vigo,2024
203,Joseph Aidoo,gh GHA,DF,29-222,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,Celta Vigo,2024
204,Tadeo Allende,ar ARG,FW,26-078,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Celta Vigo,2024
205,Florian Lejeune,fr FRA,DF,33-354,32.9,43,26,28,13,2,21,39,53.8,18,35,29,6,30,73,162,1,Matches,Rayo Vallecano,2024
206,Andrei Ratiu,ro ROU,DF,26-323,30.2,65,37,40,17,8,39,64,60.9,25,36,3,33,26,91,68,2,Matches,Rayo Vallecano,2024
207,Augusto Batalla,ar ARG,GK,29-009,28.0,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,11,4,Matches,Rayo Vallecano,2024
208,Jorge de Frutos,es ESP,"FW,MF",28-078,24.7,35,19,15,13,7,12,40,30.0,28,20,0,20,17,52,20,1,Matches,Rayo Vallecano,2024
209,Pep Chavarría,es ESP,"DF,FW",27-029,25.4,39,30,25,13,1,24,38,63.2,14,31,8,23,26,65,98,1,Matches,Rayo Vallecano,2024
210,Álvaro García,es ESP,"FW,MF",32-194,25.2,31,22,19,8,4,12,28,42.9,16,30,0,30,30,61,39,1,Matches,Rayo Vallecano,2024
211,Abdul Mumin,gh GHA,DF,26-337,22.4,37,25,30,7,0,17,27,63.0,10,40,29,11,23,60,125,0,Matches,Rayo Vallecano,2024
212,Pathé Ciss,sn SEN,"MF,DF",31-054,21.0,45,22,23,21,1,20,40,50.0,20,28,7,21,34,79,57,3,Matches,Rayo Vallecano,2024
213,Isaac Palazón Camacho,es ESP,"MF,FW",30-133,20.0,22,17,10,6,6,8,31,25.8,23,18,1,17,8,30,12,1,Matches,Rayo Vallecano,2024
214,Unai López,es ESP,MF,29-191,16.8,24,16,11,8,5,12,28,42.9,16,14,3,11,20,44,19,0,Matches,Rayo Vallecano,2024
215,Óscar Valentín,es ESP,MF,30-262,18.6,53,40,21,19,13,32,68,47.1,36,33,6,27,21,74,48,2,Matches,Rayo Vallecano,2024
216,Adri Embarba,es ESP,"FW,MF",33-002,16.5,37,17,14,16,7,16,42,38.1,26,17,1,16,12,49,13,1,Matches,Rayo Vallecano,2024
217,Randy Nteka,ao ANG,FW,27-154,12.5,16,5,3,9,4,5,12,41.7,7,13,2,11,4,20,20,0,Matches,Rayo Vallecano,2024
218,Sergio Camello,es ESP,FW,24-088,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0,Matches,Rayo Vallecano,2024
219,Pedro Díaz,es ESP,MF,26-338,11.5,21,13,6,13,2,12,35,34.3,23,13,0,13,6,27,6,1,Matches,Rayo Vallecano,2024
220,Iván Balliu,al ALB,DF,33-128,10.0,12,9,4,5,3,4,12,33.3,8,13,3,10,10,22,30,0,Matches,Rayo Vallecano,2024
221,Aridane Hernández,es ESP,DF,36-047,8.4,9,7,5,4,0,2,4,50.0,2,7,5,2,3,12,69,2,Matches,Rayo Vallecano,2024
222,Alfonso Espino,uy URU,DF,33-124,8.2,37,20,29,6,2,23,42,54.8,19,14,6,8,10,47,28,1,Matches,Rayo Vallecano,2024
223,Gerard Gumbau,es ESP,MF,30-142,8.6,16,12,8,6,2,7,15,46.7,8,10,4,6,5,21,11,0,Matches,Rayo Vallecano,2024
224,Cárdenas,es ESP,GK,28-042,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,Rayo Vallecano,2024
225,Óscar Trejo,ar ARG,MF,37-013,5.4,7,5,1,4,2,3,9,33.3,6,8,0,8,4,11,5,0,Matches,Rayo Vallecano,2024
226,Sergi Guardiola,es ESP,FW,33-345,4.0,5,3,0,5,0,2,3,66.7,1,1,0,1,1,6,2,0,Matches,Rayo Vallecano,2024
227,James Rodríguez,co COL,"MF,FW",33-301,1.6,3,2,1,2,0,0,2,0.0,2,2,0,2,1,4,0,0,Matches,Rayo Vallecano,2024
228,Pelayo Fernandez,es ESP,DF,22-010,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,Matches,Rayo Vallecano,2024
229,Etienne Eto'o,cm CMR,FW,22-264,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches,Rayo Vallecano,2024
230,Raúl de Tomás,es ESP,"DF,FW",30-204,0.2,2,2,1,0,1,0,0,,0,0,0,0,0,2,0,0,Matches,Rayo Vallecano,2024
231,Sergio Herrera,es ESP,GK,31-338,33.0,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,27,1,Matches,Osasuna,2024
232,Jesús Areso,es ESP,DF,25-311,30.2,45,34,29,11,5,35,51,68.6,16,25,4,21,8,53,79,0,Matches,Osasuna,2024
233,Catena,es ESP,DF,30-193,30.2,43,25,32,9,2,25,41,61.0,16,35,21,14,31,74,193,1,Matches,Osasuna,2024
234,Lucas Torró,es ESP,MF,30-294,29.4,69,39,30,35,4,35,62,56.5,27,33,9,24,43,112,55,3,Matches,Osasuna,2024
235,Aimar Oroz,es ESP,"MF,FW",23-163,29.0,32,18,15,11,6,14,44,31.8,30,27,2,25,18,50,7,0,Matches,Osasuna,2024
236,Ante Budimir,hr CRO,FW,33-291,29.1,20,9,3,11,6,3,12,25.0,9,18,4,14,2,22,19,0,Matches,Osasuna,2024
237,Enzo Boyomo,cm CMR,DF,23-214,29.2,61,37,42,15,4,26,33,78.8,7,33,19,14,36,97,114,3,Matches,Osasuna,2024
238,Rubén García,es ESP,"FW,MF",31-299,24.5,46,29,17,19,10,23,51,45.1,28,32,2,30,14,60,30,1,Matches,Osasuna,2024
239,Jon Moncayola,es ESP,MF,26-361,22.9,68,40,28,32,8,30,59,50.8,29,34,3,31,11,79,19,0,Matches,Osasuna,2024
240,Abel,es ESP,DF,24-261,22.4,59,35,28,24,7,37,59,62.7,22,28,4,24,18,77,61,2,Matches,Osasuna,2024
241,Bryan Zaragoza,es ESP,"FW,MF",24-014,16.9,13,9,8,4,1,6,20,30.0,14,9,0,9,1,14,8,0,Matches,Osasuna,2024
242,Jorge Herrando,es ESP,DF,24-070,15.2,17,11,9,5,3,9,15,60.0,6,20,14,6,12,29,65,2,Matches,Osasuna,2024
243,Juan Cruz Armada,es ESP,DF,32-285,13.0,20,10,9,10,1,11,19,57.9,8,14,4,10,8,28,44,0,Matches,Osasuna,2024
244,Pablo Ibáñez,es ESP,MF,26-231,11.4,18,9,6,11,1,9,37,24.3,28,18,6,12,14,32,19,0,Matches,Osasuna,2024
245,Moi Gómez,es ESP,"MF,FW",30-320,8.8,13,9,4,7,2,4,8,50.0,4,5,2,3,5,18,7,1,Matches,Osasuna,2024
246,Rubén Peña,es ESP,"FW,DF",33-295,7.6,9,3,3,2,4,3,18,16.7,15,10,0,10,5,14,11,0,Matches,Osasuna,2024
247,Raúl,es ESP,"FW,MF",24-187,7.7,11,6,3,5,3,4,9,44.4,5,4,0,4,0,11,5,0,Matches,Osasuna,2024
248,Iker Muñoz,es ESP,MF,22-185,5.6,5,2,3,2,0,3,8,37.5,5,7,1,6,4,9,10,1,Matches,Osasuna,2024
249,Kike Barja,es ESP,"FW,MF",28-038,2.9,5,4,1,3,1,2,3,66.7,1,5,0,5,3,8,4,0,Matches,Osasuna,2024
250,Nacho Vidal,es ESP,DF,30-105,1.4,2,0,0,1,1,1,4,25.0,3,1,0,1,0,2,6,0,Matches,Osasuna,2024
251,José Arnaiz,es ESP,"MF,FW",30-024,1.4,6,4,3,2,1,4,7,57.1,3,2,0,2,3,9,1,0,Matches,Osasuna,2024
252,Aitor Fernández,es ESP,GK,34-006,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Osasuna,2024
253,Unai García,es ESP,DF,33-095,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches,Osasuna,2024
254,Iker Benito,es ESP,"FW,MF",22-272,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Matches,Osasuna,2024
255,Javi Martínez,es ESP,MF,25-138,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Osasuna,2024
256,Antonio Raillo,es ESP,DF,33-213,31.6,29,17,16,10,3,14,18,77.8,4,39,31,8,27,56,193,1,Matches,Mallorca,2024
257,Sergi Darder,es ESP,"MF,FW",31-138,26.6,37,23,15,14,8,15,39,38.5,24,18,1,17,14,51,20,1,Matches,Mallorca,2024
258,Johan Mojica,co COL,DF,32-261,28.3,33,22,25,5,3,18,37,48.6,19,11,5,6,25,58,76,2,Matches,Mallorca,2024
259,Dominik Greif,sk SVK,GK,28-033,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches,Mallorca,2024
260,Martin Valjent,sk SVK,DF,29-149,27.7,27,18,20,6,1,13,16,81.3,3,28,18,10,17,44,173,1,Matches,Mallorca,2024
261,Samu Costa,pt POR,MF,24-163,25.6,77,38,38,37,2,27,66,40.9,39,40,12,28,29,106,75,1,Matches,Mallorca,2024
262,Pablo Maffeo,es ESP,DF,27-301,24.5,56,37,41,12,3,32,43,74.4,11,31,11,20,24,80,90,1,Matches,Mallorca,2024
263,Dani Rodríguez,es ESP,"MF,FW",36-337,21.8,44,27,14,20,10,13,26,50.0,13,20,2,18,12,56,22,0,Matches,Mallorca,2024
264,Vedat Muriqi,xk KVX,FW,31-015,19.6,6,4,3,2,1,3,6,50.0,3,5,1,4,7,13,33,0,Matches,Mallorca,2024
265,Cyle Larin,ca CAN,FW,30-022,18.0,11,5,1,5,5,2,7,28.6,5,12,3,9,1,12,14,0,Matches,Mallorca,2024
266,Omar Mascarell,gq EQG,MF,32-096,19.1,24,13,11,12,1,12,28,42.9,16,27,18,9,45,69,49,2,Matches,Mallorca,2024
267,Copete,es ESP,DF,25-211,16.0,27,15,16,10,1,10,11,90.9,1,23,15,8,17,44,116,2,Matches,Mallorca,2024
268,Manu Morlanes,es ESP,MF,26-117,14.4,43,27,18,20,5,18,30,60.0,12,18,7,11,24,67,16,0,Matches,Mallorca,2024
269,Roberto Navarro,es ESP,"MF,FW",23-027,14.2,29,22,14,11,4,9,19,47.4,10,18,0,18,19,48,12,0,Matches,Mallorca,2024
270,Takuma Asano,jp JPN,"FW,MF",30-180,11.0,13,9,5,7,1,6,11,54.5,5,7,0,7,5,18,8,0,Matches,Mallorca,2024
271,Antonio Sánchez,es ESP,"MF,DF",28-128,13.6,27,16,15,8,4,14,29,48.3,15,12,2,10,17,44,29,0,Matches,Mallorca,2024
272,Leo Román,es ESP,GK,24-307,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,Mallorca,2024
273,Mateu Morey,es ESP,DF,25-068,5.5,14,13,8,4,2,10,17,58.8,7,8,0,8,9,23,15,1,Matches,Mallorca,2024
274,Toni Lato,es ESP,DF,27-169,5.1,16,10,6,4,6,6,9,66.7,3,6,2,4,4,20,27,0,Matches,Mallorca,2024
275,Abdón Prats,es ESP,"FW,MF",32-153,5.1,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,5,0,Matches,Mallorca,2024
276,Marc Domenech,es ESP,"FW,MF",19-128,2.3,3,3,1,1,1,2,4,50.0,2,2,0,2,0,3,0,0,Matches,Mallorca,2024
277,Valery Fernández,es ESP,"MF,FW",25-167,3.3,8,7,3,2,3,5,7,71.4,2,3,1,2,0,8,1,0,Matches,Mallorca,2024
278,Chiquinho,pt POR,"MF,FW",25-093,1.6,1,0,0,1,0,0,7,0.0,7,3,0,3,2,3,0,0,Matches,Mallorca,2024
279,Siebe Van Der Heyden,be BEL,"DF,MF",26-344,1.1,1,1,0,1,0,0,0,,0,1,0,1,2,3,3,0,Matches,Mallorca,2024
280,David López,es ESP,DF,22-095,0.9,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,Matches,Mallorca,2024
281,Javier Llabrés,es ESP,FW,22-240,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Mallorca,2024
282,Jan Salas,es ESP,MF,19-272,0.3,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,Mallorca,2024
283,Daniel Luna,co COL,MF,22-002,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Mallorca,2024
284,Álex Remiro,es ESP,GK,30-046,33.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,17,4,Matches,Real Sociedad,2024
285,Martín Zubimendi,es ESP,MF,26-096,29.9,70,37,30,29,11,28,44,63.6,16,39,16,23,39,109,74,3,Matches,Real Sociedad,2024
286,Sergio Gómez,es ESP,"MF,DF",24-247,28.2,68,38,27,29,12,28,53,52.8,25,40,2,38,17,85,28,2,Matches,Real Sociedad,2024
287,Jon Aramburu,ve VEN,DF,22-290,24.7,91,65,52,29,10,60,91,65.9,31,35,8,27,28,119,92,0,Matches,Real Sociedad,2024
288,Igor Zubeldia,es ESP,DF,28-040,22.7,32,21,21,9,2,14,25,56.0,11,31,18,13,25,57,91,2,Matches,Real Sociedad,2024
289,Mikel Oyarzabal,es ESP,"FW,MF",28-018,22.3,19,11,7,7,5,9,18,50.0,9,15,1,14,4,23,14,0,Matches,Real Sociedad,2024
290,Takefusa Kubo,jp JPN,"MF,FW",23-339,22.9,29,18,10,11,8,16,37,43.2,21,32,1,31,13,42,13,1,Matches,Real Sociedad,2024
291,Nayef Aguerd,ma MAR,DF,29-040,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,Matches,Real Sociedad,2024
292,Javi López,es ESP,DF,23-045,19.5,38,23,22,12,4,21,35,60.0,14,20,7,13,8,46,55,1,Matches,Real Sociedad,2024
293,Luka Sučić,hr CRO,MF,22-243,17.8,24,17,7,12,5,9,24,37.5,15,27,2,25,13,37,15,1,Matches,Real Sociedad,2024
294,Brais Méndez,es ESP,MF,28-122,15.5,21,13,6,11,4,8,22,36.4,14,13,1,12,7,28,16,1,Matches,Real Sociedad,2024
295,Aritz Elustondo,es ESP,DF,31-042,13.2,17,9,12,3,2,9,17,52.9,8,16,12,4,9,26,81,0,Matches,Real Sociedad,2024
296,Ander Barrenetxea,es ESP,"MF,FW",23-133,12.3,23,16,7,11,5,5,20,25.0,15,15,0,15,10,33,15,1,Matches,Real Sociedad,2024
297,Sheraldo Becker,sr SUR,"FW,MF",30-089,11.1,3,2,0,3,0,0,2,0.0,2,4,0,4,1,4,10,0,Matches,Real Sociedad,2024
298,Aihen Muñoz,es ESP,DF,27-266,10.3,23,12,13,8,2,13,27,48.1,14,10,6,4,13,36,45,0,Matches,Real Sociedad,2024
299,Pablo Marín,es ESP,MF,21-310,10.6,21,14,5,11,5,7,15,46.7,8,12,3,9,4,25,13,0,Matches,Real Sociedad,2024
300,Beñat Turrientes,es ESP,MF,23-098,9.1,13,5,4,8,1,4,13,30.8,9,14,2,12,5,18,12,0,Matches,Real Sociedad,2024
301,Orri Steinn Óskarsson,is ISL,FW,20-253,10.5,6,6,2,1,3,2,8,25.0,6,10,1,9,2,8,11,0,Matches,Real Sociedad,2024
302,Jon Pacheco,es ESP,DF,24-121,8.5,13,9,10,3,0,8,10,80.0,2,8,6,2,8,21,45,2,Matches,Real Sociedad,2024
303,Olasagasti,es ESP,MF,24-266,8.8,19,9,5,9,5,7,17,41.2,10,8,2,6,13,32,10,0,Matches,Real Sociedad,2024
304,Hamari Traoré,ml MLI,DF,33-102,6.4,18,11,9,7,2,14,19,73.7,5,4,1,3,8,26,18,0,Matches,Real Sociedad,2024
305,Jon Martin,es ESP,DF,19-128,8.0,9,7,6,2,1,6,9,66.7,3,11,7,4,7,16,56,0,Matches,Real Sociedad,2024
306,Umar Sadiq,ng NGA,FW,28-096,2.5,2,1,1,1,0,1,2,50.0,1,3,1,2,1,3,2,0,Matches,Real Sociedad,2024
307,Unai Marrero,es ESP,GK,23-212,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Real Sociedad,2024
308,Arsen Zakharyan,ru RUS,"MF,FW",21-348,0.8,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,0,0,Matches,Real Sociedad,2024
309,Urko González,es ESP,MF,24-050,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,Real Sociedad,2024
310,Arkaitz Mariezkurrena,es ESP,"MF,FW",20-034,1.2,1,0,1,0,0,0,3,0.0,3,1,0,1,1,2,3,0,Matches,Real Sociedad,2024
311,Álvaro Odriozola,es ESP,DF,29-146,0.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches,Real Sociedad,2024
312,Daniel Díaz,es ESP,MF,18-321,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches,Real Sociedad,2024
313,Luken Beitia,es ESP,DF,20-313,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches,Real Sociedad,2024
314,Jon Magunazelaia,es ESP,MF,24-300,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,Real Sociedad,2024
315,Cristhian Mosquera,es ESP,DF,20-316,32.9,43,29,33,9,1,24,33,72.7,9,32,22,10,33,76,113,4,Matches,Valencia,2024
316,Diego López,es ESP,"MF,FW",22-361,27.7,28,17,9,15,4,16,45,35.6,29,24,0,24,13,41,13,0,Matches,Valencia,2024
317,Giorgi Mamardashvili,ge GEO,GK,24-222,30.0,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,13,3,Matches,Valencia,2024
318,César Tárrega,es ESP,DF,23-072,29.6,44,33,28,13,3,18,28,64.3,10,35,18,17,20,64,205,2,Matches,Valencia,2024
319,Luis Rioja,es ESP,"MF,FW",31-205,28.6,31,20,13,12,6,13,39,33.3,26,29,1,28,22,53,41,0,Matches,Valencia,2024
320,Javier Guerra,es ESP,MF,22-128,25.9,45,23,16,18,11,22,47,46.8,25,12,1,11,19,64,40,2,Matches,Valencia,2024
321,Dimitri Foulquier,fr FRA,DF,32-047,24.9,48,31,29,13,6,24,36,66.7,12,21,5,16,16,64,84,1,Matches,Valencia,2024
322,Hugo Duro,es ESP,FW,25-180,21.8,12,7,4,7,1,4,11,36.4,7,11,2,9,10,22,10,0,Matches,Valencia,2024
323,Enzo Barrenechea,ar ARG,MF,23-352,21.2,52,29,21,25,6,30,42,71.4,12,25,7,18,25,77,45,1,Matches,Valencia,2024
324,Domingos André Ribeiro Almeida,pt POR,"MF,FW",24-344,19.5,44,28,16,19,9,14,34,41.2,20,18,2,16,8,52,14,1,Matches,Valencia,2024
325,José Luis Gayà,es ESP,DF,29-349,17.3,50,36,34,13,3,39,55,70.9,16,14,2,12,20,70,52,0,Matches,Valencia,2024
326,José Luis García Vayá,es ESP,MF,26-271,17.4,38,21,20,12,6,16,28,57.1,12,20,6,14,15,53,32,0,Matches,Valencia,2024
327,Yarek Gasiorowski,es ESP,DF,20-117,10.5,19,16,16,3,0,9,13,69.2,4,17,6,11,26,45,60,0,Matches,Valencia,2024
328,Jesus Vazquez,es ESP,DF,22-127,9.1,20,16,11,7,2,8,17,47.1,9,15,5,10,7,27,27,0,Matches,Valencia,2024
329,Thierry Correia,pt POR,DF,26-061,8.5,27,18,19,5,3,13,23,56.5,10,10,1,9,4,31,18,0,Matches,Valencia,2024
330,Umar Sadiq,ng NGA,FW,28-096,7.5,9,5,2,5,2,4,6,66.7,2,5,0,5,1,10,6,0,Matches,Valencia,2024
331,Dani Gómez,es ESP,FW,26-283,5.9,3,2,0,0,3,0,0,,0,1,0,1,2,5,4,0,Matches,Valencia,2024
332,Rafa Mir,es ESP,"FW,MF",27-325,6.6,10,6,6,4,0,2,8,25.0,6,3,0,3,4,14,8,0,Matches,Valencia,2024
333,Mouctar Diakhaby,gn GUI,DF,28-141,4.1,5,1,5,0,0,3,5,60.0,2,6,5,1,3,8,32,0,Matches,Valencia,2024
334,Hugo Guillamón,es ESP,MF,25-098,4.0,11,8,1,9,1,9,10,90.0,1,4,1,3,5,16,9,1,Matches,Valencia,2024
335,Stole Dimitrievski,mk MKD,GK,31-135,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches,Valencia,2024
336,Francisco Perez,es ESP,"MF,FW",22-242,5.1,12,11,5,6,1,9,15,60.0,6,8,1,7,3,15,6,0,Matches,Valencia,2024
337,Sergi Canós,es ESP,"MF,FW",28-096,4.0,11,7,3,4,4,4,10,40.0,6,5,1,4,5,16,4,0,Matches,Valencia,2024
338,Ivan Jaime Pajuelo,es ESP,MF,24-225,2.1,4,2,1,1,2,2,3,66.7,1,1,0,1,2,6,0,0,Matches,Valencia,2024
339,Germán Valera,es ESP,MF,23-054,1.6,1,1,1,0,0,0,1,0.0,1,2,0,2,4,5,2,1,Matches,Valencia,2024
340,Max Aarons,eng ENG,"DF,MF",25-125,1.2,3,3,2,1,0,3,3,100.0,0,1,0,1,0,3,3,0,Matches,Valencia,2024
341,Maximiliano Caufriez,be BEL,DF,28-082,1.0,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0,Matches,Valencia,2024
342,Rodrigo Abajas,es ESP,DF,21-362,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,Matches,Valencia,2024
343,Martín Tejón,es ESP,"MF,DF",21-027,0.5,2,0,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches,Valencia,2024
344,Iker Córdoba,es ESP,DF,19-179,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Valencia,2024
345,David Otorbi,es ESP,MF,17-205,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,Valencia,2024
346,Alberto Marí,es ESP,FW,23-302,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Valencia,2024
347,David Soria,es ESP,GK,32-035,34.0,4,4,4,0,0,4,5,80.0,1,0,0,0,1,5,17,2,Matches,Getafe,2024
348,Omar Alderete,py PAR,DF,28-134,30.4,41,27,29,10,2,20,30,66.7,10,33,21,12,36,77,207,1,Matches,Getafe,2024
349,Djené,tg TOG,"DF,MF",33-129,27.3,25,13,12,11,2,12,31,38.7,19,18,8,10,21,46,104,3,Matches,Getafe,2024
350,Luis Milla,es ESP,MF,30-214,28.9,52,34,27,20,5,29,62,46.8,33,23,0,23,21,73,27,2,Matches,Getafe,2024
351,Iglesias,es ESP,DF,26-310,28.3,75,46,39,30,6,43,82,52.4,39,43,7,36,41,116,123,1,Matches,Getafe,2024
352,Diego Rico,es ESP,DF,32-075,27.3,74,45,44,27,3,42,77,54.5,35,37,3,34,31,105,90,2,Matches,Getafe,2024
353,Mauro Arambarri,uy URU,MF,29-221,26.9,45,26,9,31,5,21,44,47.7,23,33,6,27,13,58,41,0,Matches,Getafe,2024
354,Chrisantus Uche,ng NGA,"FW,MF",21-355,24.8,28,17,6,16,6,6,15,40.0,9,18,2,16,9,37,17,0,Matches,Getafe,2024
355,Domingos Duarte,pt POR,DF,30-060,17.0,23,11,18,4,1,13,17,76.5,4,24,14,10,13,36,124,1,Matches,Getafe,2024
356,Carles Pérez,es ESP,"MF,FW",27-082,15.9,33,23,11,14,8,21,48,43.8,27,19,2,17,6,39,22,0,Matches,Getafe,2024
357,Bertuğ Yıldırım,tr TUR,FW,22-301,11.6,10,5,0,7,3,2,7,28.6,5,12,2,10,1,11,16,0,Matches,Getafe,2024
358,Alex Sola,es ESP,"MF,FW",25-334,11.4,21,14,9,12,0,9,25,36.0,16,8,0,8,7,28,11,1,Matches,Getafe,2024
359,Ramón Terrats,es ESP,"MF,FW",24-203,10.1,14,6,7,2,5,7,24,29.2,17,7,1,6,4,18,12,0,Matches,Getafe,2024
