,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
346,Alberto Marí,es ESP,FW,23-302,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
347,David Soria,es ESP,GK,32-035,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Getafe,2024
348,Omar Alderete,py PAR,DF,28-134,30.4,1,35,9,25.7,1.15,0.3,0.03,0.11,21.6,6,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches,Getafe,2024
349,Djené,tg TOG,"DF,MF",33-129,27.3,0,5,0,0.0,0.18,0.0,0.0,,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Getafe,2024
350,Luis Milla,es ESP,MF,30-214,28.9,1,30,7,23.3,1.04,0.24,0.0,0.0,25.5,4,1,1,1.8,1.0,0.03,-0.8,-1.0,Matches,Getafe,2024
351,Iglesias,es ESP,DF,26-310,28.3,0,19,2,10.5,0.67,0.07,0.0,0.0,26.4,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,Getafe,2024
352,Diego Rico,es ESP,DF,32-075,27.3,0,15,3,20.0,0.55,0.11,0.0,0.0,29.7,1,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,Getafe,2024
353,Mauro Arambarri,uy URU,MF,29-221,26.9,9,45,15,33.3,1.67,0.56,0.13,0.4,18.5,1,3,3,7.1,4.7,0.11,1.9,1.3,Matches,Getafe,2024
354,Chrisantus Uche,ng NGA,"FW,MF",21-355,24.8,3,46,13,28.3,1.86,0.52,0.07,0.23,17.5,0,0,0,3.4,3.4,0.07,-0.4,-0.4,Matches,Getafe,2024
355,Domingos Duarte,pt POR,DF,30-060,17.0,1,3,1,33.3,0.18,0.06,0.33,1.0,13.0,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches,Getafe,2024
356,Carles Pérez,es ESP,"MF,FW",27-082,15.9,3,34,9,26.5,2.14,0.57,0.09,0.33,21.1,1,0,0,2.4,2.4,0.07,0.6,0.6,Matches,Getafe,2024
357,Bertuğ Yıldırım,tr TUR,FW,22-301,11.6,1,19,7,36.8,1.64,0.6,0.05,0.14,11.4,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches,Getafe,2024
358,Alex Sola,es ESP,"MF,FW",25-334,11.4,0,15,2,13.3,1.31,0.17,0.0,0.0,18.6,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,Getafe,2024
359,Ramón Terrats,es ESP,"MF,FW",24-203,10.1,4,15,7,46.7,1.48,0.69,0.27,0.57,20.4,1,0,0,2.0,2.0,0.13,2.0,2.0,Matches,Getafe,2024
360,Coba da Costa,es ESP,"MF,FW",22-287,9.9,1,20,7,35.0,2.03,0.71,0.05,0.14,17.8,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,Getafe,2024
361,Juan Berrocal,es ESP,DF,26-005,10.6,0,4,0,0.0,0.38,0.0,0.0,,11.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Getafe,2024
362,Allan Nyom,cm CMR,"DF,MF",36-364,7.7,1,8,4,50.0,1.04,0.52,0.13,0.25,16.2,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,Getafe,2024
363,Juanmi,es ESP,"FW,MF",31-354,7.4,0,13,6,46.2,1.76,0.81,0.0,0.0,12.8,0,0,0,2.9,2.9,0.22,-2.9,-2.9,Matches,Getafe,2024
364,Juan Bernat,es ESP,"MF,DF",32-069,7.0,0,3,0,0.0,0.43,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Getafe,2024
365,Álvaro Rodríguez,uy URU,FW,20-299,7.9,2,22,9,40.9,2.79,1.14,0.09,0.22,16.7,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches,Getafe,2024
366,Carles Aleñá,es ESP,"MF,FW",27-124,5.0,0,5,1,20.0,1.0,0.2,0.0,0.0,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9,Matches,Getafe,2024
367,Borja Mayoral,es ESP,FW,28-034,9.3,4,16,7,43.8,1.71,0.75,0.19,0.43,13.7,0,1,1,3.1,2.3,0.15,0.9,0.7,Matches,Getafe,2024
368,Jesús Santiago,es ESP,MF,20-349,3.6,0,1,0,0.0,0.28,0.0,0.0,,22.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Getafe,2024
369,Nabil Aberdin,fr FRA,MF,22-259,2.9,0,2,0,0.0,0.68,0.0,0.0,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Getafe,2024
370,Peter González,do DOM,"MF,FW",22-288,4.4,0,10,3,30.0,2.27,0.68,0.0,0.0,21.3,2,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches,Getafe,2024
371,Abdoulaye Keita,es ESP,"FW,MF",22-250,1.1,0,2,0,0.0,1.89,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Getafe,2024
372,Alberto Risco,es ESP,"MF,FW",19-252,0.8,0,4,1,25.0,5.22,1.3,0.0,0.0,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Getafe,2024
373,John Joe,ie IRL,"MF,FW",21-197,0.5,0,2,0,0.0,3.75,0.0,0.0,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Getafe,2024
374,Gorka Rivera Alonso,es ESP,"DF,MF",20-281,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Getafe,2024
375,Ismael Bekhoucha,ma MAR,"DF,MF",20-170,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Getafe,2024
376,David Argüelles,es ESP,MF,23-128,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Getafe,2024
377,Joan García,es ESP,GK,24-005,34.0,0,1,1,100.0,0.03,0.03,0.0,0.0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Espanyol,2024
378,Omar El Hilali,ma MAR,DF,21-239,32.1,0,2,0,0.0,0.06,0.0,0.0,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Espanyol,2024
379,Marash Kumbulla,al ALB,DF,25-090,30.0,3,12,4,33.3,0.4,0.13,0.25,0.75,12.0,0,0,0,1.6,1.6,0.13,1.4,1.4,Matches,Espanyol,2024
380,Javi Puado,es ESP,"FW,MF",26-349,29.5,11,58,17,29.3,1.96,0.58,0.12,0.41,20.7,0,4,4,9.6,6.5,0.11,1.4,0.5,Matches,Espanyol,2024
381,Leandro Cabrera,uy URU,DF,33-326,29.0,3,17,5,29.4,0.59,0.17,0.18,0.6,12.4,0,0,0,0.9,0.9,0.05,2.1,2.1,Matches,Espanyol,2024
382,Alex Král,cz CZE,MF,26-355,29.2,0,21,2,9.5,0.72,0.07,0.0,0.0,16.0,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches,Espanyol,2024
383,Carlos Romero,es ESP,DF,23-192,24.4,2,23,4,17.4,0.94,0.16,0.09,0.5,19.9,1,0,0,1.9,1.9,0.08,0.1,0.1,Matches,Espanyol,2024
384,Jofre,es ESP,"MF,FW",23-326,22.4,3,37,10,27.0,1.65,0.45,0.08,0.3,19.9,0,0,0,2.4,2.4,0.06,0.6,0.6,Matches,Espanyol,2024
385,Pol Lozano,es ESP,MF,25-215,19.8,0,8,2,25.0,0.4,0.1,0.0,0.0,29.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,Espanyol,2024
386,Roberto Férnandez,es ESP,FW,22-310,13.1,6,19,8,42.1,1.45,0.61,0.32,0.75,14.4,0,0,0,3.3,3.3,0.17,2.7,2.7,Matches,Espanyol,2024
387,Álvaro Tejero,es ESP,"MF,DF",28-293,13.2,1,17,4,23.5,1.29,0.3,0.06,0.25,26.1,6,0,0,0.6,0.6,0.04,0.4,0.4,Matches,Espanyol,2024
388,Urko González,es ESP,MF,24-050,11.5,0,1,1,100.0,0.09,0.09,0.0,0.0,21.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Espanyol,2024
389,Brian Oliván,es ESP,DF,31-038,11.3,0,6,1,16.7,0.53,0.09,0.0,0.0,23.8,2,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Espanyol,2024
390,Antoniu,es ESP,"MF,FW",22-246,9.8,0,10,4,40.0,1.02,0.41,0.0,0.0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,Espanyol,2024
391,Alejo Véliz,ar ARG,FW,21-232,11.2,1,16,5,31.3,1.43,0.45,0.06,0.2,11.3,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches,Espanyol,2024
392,Edu Expósito,es ESP,MF,28-281,8.0,0,13,4,30.8,1.63,0.5,0.0,0.0,22.7,3,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Espanyol,2024
393,José Gragera,es ESP,MF,24-160,6.3,0,2,0,0.0,0.32,0.0,0.0,,20.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Espanyol,2024
394,Sergi Gómez,es ESP,DF,33-042,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,8.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,Espanyol,2024
395,Walid Cheddira,ma MAR,FW,27-107,6.8,1,10,3,30.0,1.47,0.44,0.1,0.33,12.9,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches,Espanyol,2024
396,Irvin Cardona,fr FRA,"FW,MF",27-274,6.7,1,10,3,30.0,1.49,0.45,0.1,0.33,17.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,Espanyol,2024
397,Álvaro Aguado,es ESP,MF,29-008,4.8,0,9,0,0.0,1.88,0.0,0.0,,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Espanyol,2024
398,Fernando Calero,es ESP,"DF,MF",29-237,5.3,1,2,1,50.0,0.37,0.19,0.5,1.0,9.1,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches,Espanyol,2024
399,Justin Smith,ca CAN,MF,22-094,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Espanyol,2024
400,Rafael Bauza,es ESP,MF,20-099,2.0,0,3,0,0.0,1.48,0.0,0.0,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Espanyol,2024
401,Pere Milla,es ESP,"MF,FW",32-228,3.5,1,7,3,42.9,1.99,0.85,0.14,0.33,15.1,1,0,0,0.6,0.6,0.08,0.4,0.4,Matches,Espanyol,2024
402,Naci Ünüvar,nl NED,"MF,DF",21-330,0.3,0,1,0,0.0,2.9,0.0,0.0,,14.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Espanyol,2024
403,Roger Hinojo,es ESP,DF,20-077,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Espanyol,2024
404,Paulo Gazzaniga,ar ARG,GK,33-127,33.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Girona,2024
405,Miguel Gutiérrez,es ESP,"DF,MF",23-286,27.3,1,28,9,32.1,1.03,0.33,0.04,0.11,21.5,3,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,Girona,2024
406,Daley Blind,nl NED,DF,35-061,26.9,0,8,4,50.0,0.3,0.15,0.0,0.0,18.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Girona,2024
407,Arnau Martinez,es ESP,"DF,MF",22-014,25.7,2,19,6,31.6,0.74,0.23,0.11,0.33,15.4,0,0,0,1.2,1.2,0.07,0.8,0.8,Matches,Girona,2024
408,David López,es ESP,DF,35-212,25.0,1,11,3,27.3,0.44,0.12,0.09,0.33,16.5,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches,Girona,2024
409,Ladislav Krejčí,cz CZE,DF,26-019,24.1,2,17,5,29.4,0.71,0.21,0.12,0.4,15.1,0,0,0,1.7,1.7,0.1,0.3,0.3,Matches,Girona,2024
410,Yangel Herrera,ve VEN,MF,27-115,22.3,4,36,13,36.1,1.61,0.58,0.11,0.31,17.0,0,0,0,3.5,3.5,0.1,0.5,0.5,Matches,Girona,2024
411,Iván Martín,es ESP,MF,26-084,20.4,1,8,1,12.5,0.39,0.05,0.13,1.0,18.2,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches,Girona,2024
412,Bryan Gil,es ESP,"FW,MF",24-087,19.1,3,32,15,46.9,1.67,0.78,0.09,0.2,19.0,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches,Girona,2024
413,Viktor Tsyhankov,ua UKR,"FW,MF",27-175,17.6,2,30,7,23.3,1.71,0.4,0.07,0.29,20.0,4,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches,Girona,2024
414,Donny van de Beek,nl NED,MF,28-021,15.8,2,18,5,27.8,1.14,0.32,0.11,0.4,14.7,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches,Girona,2024
415,Oriol Romeu,es ESP,MF,33-227,13.8,0,4,0,0.0,0.29,0.0,0.0,,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Girona,2024
416,Abel Ruiz,es ESP,FW,25-101,13.6,4,21,7,33.3,1.54,0.51,0.14,0.43,14.0,0,1,2,4.6,3.0,0.14,-0.6,0.0,Matches,Girona,2024
417,Arnaut Danjuma,nl NED,"FW,MF",28-098,14.6,2,30,14,46.7,2.06,0.96,0.07,0.14,16.0,1,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches,Girona,2024
418,Yaser Asprilla,co COL,"FW,MF",21-171,12.6,3,34,9,26.5,2.71,0.72,0.09,0.33,23.1,1,0,0,1.7,1.7,0.05,1.3,1.3,Matches,Girona,2024
419,Bojan Miovski,mk MKD,FW,25-319,9.5,2,14,4,28.6,1.48,0.42,0.14,0.5,12.3,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches,Girona,2024
420,Alejandro Francés,es ESP,DF,22-281,10.6,0,6,0,0.0,0.56,0.0,0.0,,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Girona,2024
421,Arthur Melo,br BRA,MF,28-270,7.3,0,4,1,25.0,0.55,0.14,0.0,0.0,27.4,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Girona,2024
422,Juanpe,es ESP,DF,34-009,6.8,0,1,0,0.0,0.15,0.0,0.0,,32.7,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Girona,2024
423,Cristhian Stuani,uy URU,FW,38-209,9.2,9,26,14,53.8,2.82,1.52,0.23,0.43,12.5,0,3,3,6.8,4.6,0.18,2.2,1.4,Matches,Girona,2024
424,Portu,es ESP,"FW,MF",32-353,6.2,0,5,2,40.0,0.8,0.32,0.0,0.0,14.8,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches,Girona,2024
425,Jhon Solis,co COL,MF,20-218,5.2,1,4,1,25.0,0.76,0.19,0.25,1.0,16.0,0,0,0,0.7,0.7,0.16,0.3,0.3,Matches,Girona,2024
426,Silvi Clúa,es ESP,MF,20-100,1.8,0,2,1,50.0,1.1,0.55,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Girona,2024
427,Gabriel Osei Misehouy,nl NED,"FW,MF",19-295,2.9,1,6,2,33.3,2.1,0.7,0.17,0.5,17.2,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches,Girona,2024
428,Iker Almena,es ESP,"FW,DF",21-005,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Girona,2024
429,Papa Ba,es ESP,MF,20-239,0.5,0,1,0,0.0,1.87,0.0,0.0,,9.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Girona,2024
430,Pau López,es ESP,GK,30-147,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Girona,2024
431,Kim Minsu,kr KOR,"MF,FW",19-110,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Girona,2024
432,Ferrán Ruiz,es ESP,MF,22-013,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Girona,2024
433,Dodi Lukebakio,be BEL,FW,27-227,31.4,11,85,36,42.4,2.71,1.15,0.12,0.28,19.6,2,1,1,9.2,8.4,0.1,1.8,1.6,Matches,Sevilla,2024
434,Carmona,es ESP,DF,23-100,30.0,0,18,4,22.2,0.6,0.13,0.0,0.0,25.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Sevilla,2024
435,Loïc Bade,fr FRA,DF,25-028,28.2,1,13,4,30.8,0.46,0.14,0.08,0.25,15.0,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches,Sevilla,2024
436,Ørjan Nyland,no NOR,GK,34-241,26.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
437,Isaac Romero,es ESP,FW,24-356,23.4,4,51,16,31.4,2.18,0.68,0.08,0.25,16.4,0,0,1,6.8,6.0,0.12,-2.8,-2.0,Matches,Sevilla,2024
438,Adrià Pedrosa,es ESP,DF,26-361,23.5,1,20,5,25.0,0.85,0.21,0.05,0.2,26.8,0,0,0,0.5,0.5,0.03,0.5,0.5,Matches,Sevilla,2024
439,Nemanja Gudelj,rs SRB,"MF,DF",33-174,24.3,0,18,5,27.8,0.74,0.21,0.0,0.0,28.9,6,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,Sevilla,2024
440,Kike Salas,es ESP,DF,23-016,21.4,2,17,3,17.6,0.79,0.14,0.12,0.67,13.4,0,0,0,1.1,1.1,0.06,0.9,0.9,Matches,Sevilla,2024
441,Djibril Sow,ch SUI,MF,28-092,20.7,1,19,5,26.3,0.92,0.24,0.05,0.2,19.1,0,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches,Sevilla,2024
442,Lucien Agoume,fr FRA,MF,23-089,19.5,1,9,1,11.1,0.46,0.05,0.11,1.0,14.7,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches,Sevilla,2024
443,Saúl Ñíguez,es ESP,MF,30-169,16.2,1,41,9,22.0,2.54,0.56,0.02,0.11,19.3,2,0,0,2.8,2.8,0.07,-1.8,-1.8,Matches,Sevilla,2024
444,Albert Sambi Lokonga,be BEL,MF,25-199,15.6,0,10,4,40.0,0.64,0.26,0.0,0.0,19.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Sevilla,2024
445,Juanlu Sánchez,es ESP,"MF,DF",21-267,15.5,4,12,5,41.7,0.78,0.32,0.33,0.8,11.9,0,0,0,1.8,1.8,0.15,2.2,2.2,Matches,Sevilla,2024
446,Peque,es ESP,"MF,FW",22-217,11.4,1,17,4,23.5,1.49,0.35,0.06,0.25,14.6,0,0,0,2.4,2.4,0.14,-1.4,-1.4,Matches,Sevilla,2024
447,Chidera Ejuke,ng NGA,FW,27-127,10.6,2,20,8,40.0,1.88,0.75,0.1,0.25,18.3,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches,Sevilla,2024
448,Ruben Vargas,ch SUI,"FW,MF",26-277,7.5,2,17,5,29.4,2.28,0.67,0.12,0.4,13.8,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches,Sevilla,2024
449,Álvaro Fernández,es ESP,GK,27-026,7.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
450,Tanguy Nianzou,fr FRA,DF,22-336,5.8,0,2,0,0.0,0.35,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,Sevilla,2024
451,Marcão,br BRA,DF,28-338,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
452,Kelechi Iheanacho,ng NGA,FW,28-218,4.4,0,9,2,22.2,2.03,0.45,0.0,0.0,13.9,0,0,0,1.5,1.5,0.16,-1.5,-1.5,Matches,Sevilla,2024
453,Jesús Navas,es ESP,"FW,MF",39-169,4.7,1,3,2,66.7,0.64,0.42,0.33,0.5,14.9,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches,Sevilla,2024
454,Valentín Barco,ar ARG,"DF,FW",20-290,3.2,0,7,0,0.0,2.19,0.0,0.0,,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Sevilla,2024
455,Stanis Idumbo,be BEL,"FW,MF",19-314,3.2,1,4,2,50.0,1.27,0.63,0.25,0.5,23.5,0,0,0,0.6,0.6,0.16,0.4,0.4,Matches,Sevilla,2024
456,Lucas Ocampos,ar ARG,FW,30-302,1.9,0,4,2,50.0,2.06,1.03,0.0,0.0,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Sevilla,2024
457,Suso,es ESP,"FW,MF",31-171,3.5,0,10,3,30.0,2.86,0.86,0.0,0.0,23.5,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Sevilla,2024
458,Álvaro Pascual,es ESP,FW,23-128,2.2,0,7,2,28.6,3.18,0.91,0.0,0.0,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
459,Akor Adams,ng NGA,FW,25-100,1.5,0,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches,Sevilla,2024
460,Manu Bueno,es ESP,"MF,FW",20-286,1.3,1,4,1,25.0,3.16,0.79,0.25,1.0,26.8,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches,Sevilla,2024
461,Gonzalo Montiel,ar ARG,"DF,MF",28-128,1.3,0,1,0,0.0,0.8,0.0,0.0,,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Sevilla,2024
462,Ramón Martínez,es ESP,DF,22-199,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
463,Diego Iturralde,es ESP,FW,22-023,0.4,0,1,0,0.0,2.43,0.0,0.0,,15.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,Sevilla,2024
464,Israel Domínguez,es ESP,FW,22-002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
465,Leandro Antonetti,pr PUR,FW,22-116,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
466,Mateo Mejía,es ESP,FW,22-039,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
467,Darío Fuentes,es ESP,DF,22-117,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Sevilla,2024
468,Carlos Vicente,es ESP,"FW,MF",26-016,30.4,4,31,12,38.7,1.02,0.4,0.13,0.33,17.2,1,0,0,2.6,2.6,0.08,1.4,1.4,Matches,Alaves,2024
469,Nahuel Tenaglia,ar ARG,DF,29-077,29.3,2,22,5,22.7,0.75,0.17,0.09,0.4,14.2,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches,Alaves,2024
470,Abdel Abqar,ma MAR,DF,26-060,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,Alaves,2024
471,Antonio Sivera,es ESP,GK,28-271,27.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,2024
472,Antonio Blanco,es ESP,MF,24-290,26.6,0,23,3,13.0,0.87,0.11,0.0,0.0,25.9,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches,Alaves,2024
473,Kiké,es ESP,FW,35-165,25.6,12,53,23,43.4,2.07,0.9,0.19,0.43,15.4,0,2,2,8.2,6.6,0.12,3.8,3.4,Matches,Alaves,2024
474,Manu Sánchez,es ESP,DF,24-258,25.5,1,12,2,16.7,0.47,0.08,0.08,0.5,16.7,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,Alaves,2024
475,Jon Guridi,es ESP,"MF,FW",30-070,20.0,3,20,10,50.0,1.0,0.5,0.1,0.2,14.5,0,1,1,3.5,2.7,0.13,-0.5,-0.7,Matches,Alaves,2024
476,Moussa Diarra,ml MLI,DF,24-180,19.7,0,1,0,0.0,0.05,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alaves,2024
477,Ander Guevara,es ESP,MF,27-306,18.6,0,10,2,20.0,0.54,0.11,0.0,0.0,22.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Alaves,2024
478,Santiago Mouriño,uy URU,DF,23-085,17.5,0,11,3,27.3,0.63,0.17,0.0,0.0,16.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,Alaves,2024
479,Carlos Martín,es ESP,"FW,MF",23-017,14.5,2,26,12,46.2,1.79,0.83,0.08,0.17,17.0,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches,Alaves,2024
480,Joan Jordán,es ESP,MF,30-307,15.1,4,13,4,30.8,0.86,0.26,0.15,0.5,25.6,5,2,3,4.0,1.6,0.13,0.0,0.4,Matches,Alaves,2024
481,Tomás Conechny,ar ARG,"FW,MF",27-040,8.8,1,21,9,42.9,2.39,1.02,0.05,0.11,17.9,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches,Alaves,2024
482,Carles Aleñá,es ESP,"MF,FW",27-124,8.5,0,11,2,18.2,1.3,0.24,0.0,0.0,18.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Alaves,2024
483,Toni Martínez,es ESP,"FW,MF",27-313,10.1,4,44,15,34.1,4.34,1.48,0.09,0.27,16.4,0,0,0,3.0,3.0,0.07,1.0,1.0,Matches,Alaves,2024
484,Stoichkov,es ESP,"MF,FW",31-185,7.8,0,18,3,16.7,2.32,0.39,0.0,0.0,19.8,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,Alaves,2024
485,Aleksandar Sedlar,rs SRB,DF,33-147,5.7,0,1,0,0.0,0.17,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alaves,2024
486,Jesús Owono,gq EQG,GK,24-069,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Alaves,2024
487,Pica,es ESP,DF,23-128,5.4,0,4,1,25.0,0.74,0.18,0.0,0.0,10.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Alaves,2024
488,Carlos Benavídez,uy URU,MF,27-040,4.4,1,3,1,33.3,0.69,0.23,0.33,1.0,25.1,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches,Alaves,2024
489,Abderrahman Rebbach,dz ALG,"FW,MF",26-271,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Alaves,2024
490,Facundo Garcés,ar ARG,DF,25-246,3.5,0,1,0,0.0,0.28,0.0,0.0,,13.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Alaves,2024
491,Asier Villalibre,es ESP,FW,27-221,3.5,1,7,1,14.3,2.01,0.29,0.0,0.0,14.2,0,1,1,1.6,0.8,0.11,-0.6,-0.8,Matches,Alaves,2024
