,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
266,Omar Mascarell,gq EQG,MF,32-096,19.1,0,6,1,16.7,0.31,0.05,0.0,0.0,18.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Mallorca,2024
267,Copete,es ESP,DF,25-211,16.0,0,6,2,33.3,0.38,0.13,0.0,0.0,9.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,Mallorca,2024
268,Manu Morlanes,es ESP,MF,26-117,14.4,0,11,1,9.1,0.76,0.07,0.0,0.0,22.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,Mallorca,2024
269,Roberto Navarro,es ESP,"MF,FW",23-027,14.2,1,18,6,33.3,1.27,0.42,0.06,0.17,16.2,0,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches,Mallorca,2024
270,Takuma Asano,jp JPN,"FW,MF",30-180,11.0,2,25,7,28.0,2.28,0.64,0.08,0.29,13.5,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches,Mallorca,2024
271,Antonio Sánchez,es ESP,"MF,DF",28-128,13.6,0,15,2,13.3,1.11,0.15,0.0,0.0,18.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,Mallorca,2024
272,Leo Román,es ESP,GK,24-307,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Mallorca,2024
273,Mateu Morey,es ESP,DF,25-068,5.5,0,2,0,0.0,0.37,0.0,0.0,,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Mallorca,2024
274,Toni Lato,es ESP,DF,27-169,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Mallorca,2024
275,Abdón Prats,es ESP,"FW,MF",32-153,5.1,2,13,4,30.8,2.57,0.79,0.08,0.25,14.7,0,1,1,2.2,1.5,0.11,-0.2,-0.5,Matches,Mallorca,2024
276,Marc Domenech,es ESP,"FW,MF",19-128,2.3,0,6,1,16.7,2.65,0.44,0.0,0.0,18.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Mallorca,2024
277,Valery Fernández,es ESP,"MF,FW",25-167,3.3,2,3,3,100.0,0.91,0.91,0.67,0.67,10.3,0,0,0,0.8,0.8,0.28,1.2,1.2,Matches,Mallorca,2024
278,Chiquinho,pt POR,"MF,FW",25-093,1.6,0,4,2,50.0,2.47,1.23,0.0,0.0,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Mallorca,2024
279,Siebe Van Der Heyden,be BEL,"DF,MF",26-344,1.1,0,1,0,0.0,0.93,0.0,0.0,,11.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Mallorca,2024
280,David López,es ESP,DF,22-095,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Mallorca,2024
281,Javier Llabrés,es ESP,FW,22-240,0.6,0,1,0,0.0,1.58,0.0,0.0,,19.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Mallorca,2024
282,Jan Salas,es ESP,MF,19-272,0.3,0,2,0,0.0,7.5,0.0,0.0,,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Mallorca,2024
283,Daniel Luna,co COL,MF,22-002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Mallorca,2024
