,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
544,Carmona,es ESP,DF,23-100,,2700.0,84.0,88.2,30.0,32,84.0,20,0,,0,1.09,31.0,41.0,-10.0,-0.33,-0.58,30.8,37.7,-6.9,-0.23,-0.49,Matches,Sevilla,2024,32.0
545,Loïc Bade,fr FRA,DF,25-028,,2541.0,88.0,83.0,28.2,28,90.0,28,1,21.0,1,1.07,30.0,39.0,-9.0,-0.32,-0.32,30.8,36.7,-6.0,-0.21,-0.23,Matches,Sevilla,2024,29.0
546,Ørjan Nyland,no NOR,GK,34-241,,2403.0,89.0,78.5,26.7,27,89.0,26,0,,3,1.15,29.0,34.0,-5.0,-0.19,0.36,30.2,33.1,-2.9,-0.11,0.3,Matches,Sevilla,2024,27.0
547,Isaac Romero,es ESP,FW,24-356,,2108.0,73.0,68.9,23.4,26,78.0,8,3,29.0,1,1.03,25.0,35.0,-10.0,-0.43,-0.52,23.4,32.5,-9.0,-0.38,-0.68,Matches,Sevilla,2024,29.0
548,Adrià Pedrosa,es ESP,DF,26-361,,2117.0,76.0,69.2,23.5,25,83.0,15,3,12.0,2,1.11,24.0,26.0,-2.0,-0.09,0.58,25.9,26.9,-1.0,-0.04,0.42,Matches,Sevilla,2024,28.0
549,Nemanja Gudelj,rs SRB,"MF,DF",33-174,,2191.0,81.0,71.6,24.3,24,87.0,18,3,34.0,4,1.22,31.0,33.0,-2.0,-0.08,0.64,28.8,30.0,-1.2,-0.05,0.44,Matches,Sevilla,2024,27.0
550,Kike Salas,es ESP,DF,23-016,,1925.0,71.0,62.9,21.4,21,88.0,18,6,11.0,5,1.15,23.0,31.0,-8.0,-0.37,-0.29,21.2,26.8,-5.5,-0.26,-0.23,Matches,Sevilla,2024,27.0
551,Djibril Sow,ch SUI,MF,28-092,,1861.0,69.0,60.8,20.7,21,83.0,9,6,18.0,1,1.0,20.0,24.0,-4.0,-0.19,0.18,21.6,23.1,-1.4,-0.07,0.26,Matches,Sevilla,2024,27.0
552,Lucien Agoume,fr FRA,MF,23-089,,1754.0,57.0,57.3,19.5,20,82.0,10,11,10.0,1,1.13,21.0,30.0,-9.0,-0.46,-0.46,20.1,27.0,-6.9,-0.36,-0.43,Matches,Sevilla,2024,31.0
553,Saúl Ñíguez,es ESP,MF,30-169,,1454.0,66.0,47.5,16.2,16,80.0,8,6,29.0,2,0.95,13.0,18.0,-5.0,-0.31,-0.09,16.2,18.0,-1.8,-0.11,0.12,Matches,Sevilla,2024,22.0
554,Albert Sambi Lokonga,be BEL,MF,25-199,,1400.0,70.0,45.8,15.6,15,83.0,8,5,30.0,2,1.15,13.0,20.0,-7.0,-0.45,-0.34,16.0,18.0,-2.0,-0.13,0.08,Matches,Sevilla,2024,20.0
555,Juanlu Sánchez,es ESP,"MF,DF",21-267,,1393.0,50.0,45.5,15.5,14,81.0,5,14,18.0,4,1.04,20.0,25.0,-5.0,-0.32,-0.11,15.8,21.7,-5.9,-0.38,-0.39,Matches,Sevilla,2024,28.0
556,Peque,es ESP,"MF,FW",22-217,,1026.0,45.0,33.5,11.4,13,70.0,1,10,11.0,10,1.09,14.0,14.0,0.0,0.0,0.4,12.6,12.8,-0.2,-0.02,0.23,Matches,Sevilla,2024,23.0
557,Chidera Ejuke,ng NGA,FW,27-127,,956.0,42.0,31.2,10.6,9,72.0,2,14,22.0,2,1.13,10.0,11.0,-1.0,-0.09,0.25,10.7,15.9,-5.2,-0.49,-0.46,Matches,Sevilla,2024,23.0
558,Ruben Vargas,ch SUI,"FW,MF",26-277,,671.0,61.0,21.9,7.5,9,69.0,0,2,23.0,1,1.0,11.0,9.0,2.0,0.27,0.68,8.0,8.8,-0.8,-0.11,0.08,Matches,Sevilla,2024,11.0
559,Álvaro Fernández,es ESP,GK,27-026,,657.0,82.0,21.5,7.3,7,90.0,7,1,27.0,26,1.25,8.0,12.0,-4.0,-0.55,-0.36,6.8,9.8,-3.0,-0.41,-0.3,Matches,Sevilla,2024,8.0
560,Tanguy Nianzou,fr FRA,DF,22-336,,518.0,86.0,16.9,5.8,6,86.0,4,0,,4,1.83,7.0,5.0,2.0,0.35,0.74,6.9,7.0,-0.1,-0.02,0.18,Matches,Sevilla,2024,6.0
561,Marcão,br BRA,DF,28-338,,462.0,42.0,15.1,5.1,5,84.0,2,6,7.0,19,1.18,4.0,13.0,-9.0,-1.75,-1.75,5.5,9.5,-4.0,-0.78,-0.71,Matches,Sevilla,2024,11.0
562,Kelechi Iheanacho,ng NGA,FW,28-218,,400.0,44.0,13.1,4.4,5,59.0,0,4,26.0,10,0.89,2.0,6.0,-4.0,-0.9,-0.73,4.2,4.5,-0.3,-0.07,0.12,Matches,Sevilla,2024,9.0
563,Jesús Navas,es ESP,"FW,MF",39-169,,424.0,28.0,13.9,4.7,3,66.0,0,12,19.0,3,1.47,5.0,6.0,-1.0,-0.21,0.06,6.9,6.2,0.6,0.13,0.36,Matches,Sevilla,2024,15.0
564,Valentín Barco,ar ARG,"DF,FW",20-290,,288.0,41.0,9.4,3.2,3,75.0,1,4,16.0,7,1.86,3.0,4.0,-1.0,-0.31,-0.05,4.3,4.4,-0.1,-0.03,0.16,Matches,Sevilla,2024,7.0
565,Stanis Idumbo,be BEL,"FW,MF",19-314,,284.0,20.0,9.3,3.2,3,50.0,0,11,12.0,18,1.0,7.0,7.0,0.0,0.0,0.29,3.7,5.6,-1.9,-0.6,-0.47,Matches,Sevilla,2024,14.0
566,Lucas Ocampos,ar ARG,FW,30-302,,175.0,88.0,5.7,1.9,2,88.0,1,0,,0,0.5,3.0,3.0,0.0,0.0,0.28,2.8,2.0,0.7,0.37,0.58,Matches,Sevilla,2024,2.0
567,Suso,es ESP,"FW,MF",31-171,,315.0,26.0,10.3,3.5,1,90.0,1,11,20.0,14,1.42,6.0,4.0,2.0,0.57,0.93,7.6,3.9,3.7,1.06,1.37,Matches,Sevilla,2024,12.0
568,Álvaro Pascual,es ESP,FW,23-128,,198.0,50.0,6.5,2.2,1,83.0,0,3,38.0,2,1.0,4.0,2.0,2.0,0.91,1.26,0.5,0.6,-0.1,-0.2,-0.02,Matches,Sevilla,2024,4.0
569,Akor Adams,ng NGA,FW,25-100,,134.0,34.0,4.4,1.5,1,90.0,1,3,15.0,0,0.25,1.0,3.0,-2.0,-1.34,-1.13,1.0,2.0,-1.0,-0.71,-0.56,Matches,Sevilla,2024,4.0
570,Manu Bueno,es ESP,"MF,FW",20-286,,114.0,16.0,3.7,1.3,1,69.0,0,6,8.0,7,1.29,2.0,2.0,0.0,0.0,0.27,1.8,2.1,-0.3,-0.27,-0.1,Matches,Sevilla,2024,7.0
571,Gonzalo Montiel,ar ARG,"DF,MF",28-128,,113.0,19.0,3.7,1.3,1,85.0,0,5,6.0,11,1.5,2.0,3.0,-1.0,-0.8,-0.55,1.6,1.8,-0.2,-0.16,0.01,Matches,Sevilla,2024,6.0
572,Ramón Martínez,es ESP,DF,22-199,,96.0,48.0,3.1,1.1,1,90.0,1,1,6.0,12,2.0,1.0,1.0,0.0,0.0,0.27,1.6,1.0,0.6,0.54,0.73,Matches,Sevilla,2024,2.0
573,Diego Iturralde,es ESP,FW,22-023,,37.0,37.0,1.2,0.4,1,37.0,0,0,,2,0.0,0.0,1.0,-1.0,-2.43,-2.19,0.2,0.0,0.1,0.31,0.48,Matches,Sevilla,2024,1.0
574,Israel Domínguez,es ESP,FW,22-002,,18.0,18.0,0.6,0.2,0,,0,1,18.0,2,0.0,0.0,0.0,0.0,0.0,0.27,0.8,0.0,0.8,4.19,4.38,Matches,Sevilla,2024,1.0
575,Leandro Antonetti,pr PUR,FW,22-116,,11.0,11.0,0.4,0.1,0,,0,1,11.0,6,1.0,0.0,0.0,0.0,0.0,0.27,0.3,0.2,0.1,0.67,0.85,Matches,Sevilla,2024,1.0
576,Mateo Mejía,es ESP,FW,22-039,,11.0,11.0,0.4,0.1,0,,0,1,11.0,1,1.0,1.0,0.0,1.0,8.18,8.48,0.7,0.0,0.7,5.55,5.74,Matches,Sevilla,2024,1.0
577,Darío Fuentes,es ESP,DF,22-117,,5.0,5.0,0.2,0.1,0,,0,1,5.0,0,3.0,0.0,0.0,0.0,0.0,0.27,0.0,0.5,-0.5,-8.87,-8.71,Matches,Sevilla,2024,1.0
578,Matías Árbol,es ESP,GK,22-239,,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,Sevilla,2024,0.0
579,Castrin,es ESP,FW,22-128,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Sevilla,2024,0.0
580,Pablo Cruz,es ESP,MF,21-118,,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Sevilla,2024,0.0
581,Lulo Dasilva,es ESP,MF,22-217,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Sevilla,2024,0.0
582,Alberto López,es ESP,GK,21-180,,,,,,0,,0,0,,20,,,,,,,,,,,,Matches,Sevilla,2024,0.0
583,Alberto López,es ESP,MF,20-023,,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Sevilla,2024,0.0
584,Joaquín Martínez Gauna,es ESP,FW,21-304,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Sevilla,2024,0.0
585,Pedro Ortiz,es ESP,MF,24-263,,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,Sevilla,2024,0.0
586,Rafa,es ESP,GK,21-275,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Sevilla,2024,0.0
587,Carlos Vicente,es ESP,"FW,MF",26-016,,2732.0,83.0,89.3,30.4,31,86.0,23,2,35.0,1,1.06,31.0,37.0,-6.0,-0.2,1.17,31.6,35.4,-3.8,-0.12,0.03,Matches,Alaves,2024,33.0
588,Nahuel Tenaglia,ar ARG,DF,29-077,,2633.0,88.0,86.0,29.3,30,88.0,27,0,,1,0.93,27.0,39.0,-12.0,-0.41,-0.62,31.5,35.9,-4.4,-0.15,-0.17,Matches,Alaves,2024,30.0
589,Abdel Abqar,ma MAR,DF,26-060,,2463.0,85.0,80.5,27.4,29,85.0,24,0,,0,1.03,30.0,41.0,-11.0,-0.4,-0.4,32.0,33.4,-1.4,-0.05,0.39,Matches,Alaves,2024,29.0
590,Antonio Sivera,es ESP,GK,28-271,,2450.0,88.0,80.1,27.2,28,88.0,26,0,,0,1.07,28.0,37.0,-9.0,-0.33,-0.04,30.3,34.4,-4.1,-0.15,-0.12,Matches,Alaves,2024,28.0
591,Antonio Blanco,es ESP,MF,24-290,,2393.0,77.0,78.2,26.6,28,83.0,18,3,19.0,1,1.06,21.0,37.0,-16.0,-0.6,-1.28,27.9,32.9,-4.9,-0.19,-0.27,Matches,Alaves,2024,31.0
592,Kiké,es ESP,FW,35-165,,2301.0,72.0,75.2,25.6,26,83.0,11,6,26.0,1,1.06,27.0,25.0,2.0,0.08,1.62,28.1,25.3,2.8,0.11,0.96,Matches,Alaves,2024,32.0
593,Manu Sánchez,es ESP,DF,24-258,,2293.0,79.0,74.9,25.5,26,85.0,17,3,24.0,2,1.07,24.0,36.0,-12.0,-0.47,-0.59,26.7,32.1,-5.4,-0.21,-0.34,Matches,Alaves,2024,29.0
594,Jon Guridi,es ESP,"MF,FW",30-070,,1804.0,62.0,59.0,20.0,23,72.0,5,6,23.0,3,1.07,22.0,26.0,-4.0,-0.2,0.3,20.9,20.5,0.4,0.02,0.36,Matches,Alaves,2024,29.0
595,Moussa Diarra,ml MLI,DF,24-180,,1776.0,71.0,58.0,19.7,19,88.0,17,6,16.0,8,0.84,21.0,30.0,-9.0,-0.46,-0.32,21.2,25.4,-4.2,-0.21,-0.2,Matches,Alaves,2024,25.0
596,Ander Guevara,es ESP,MF,27-306,,1677.0,56.0,54.8,18.6,17,78.0,7,13,27.0,4,1.03,22.0,23.0,-1.0,-0.05,0.6,20.5,22.0,-1.5,-0.08,0.1,Matches,Alaves,2024,30.0
597,Santiago Mouriño,uy URU,DF,23-085,,1579.0,72.0,51.6,17.5,17,86.0,15,5,23.0,7,1.0,16.0,21.0,-5.0,-0.28,0.08,18.2,22.4,-4.2,-0.24,-0.23,Matches,Alaves,2024,22.0
598,Carlos Martín,es ESP,"FW,MF",23-017,,1307.0,54.0,42.7,14.5,16,66.0,1,8,31.0,8,1.13,11.0,13.0,-2.0,-0.14,0.32,14.2,17.9,-3.7,-0.26,-0.23,Matches,Alaves,2024,24.0
599,Joan Jordán,es ESP,MF,30-307,,1362.0,59.0,44.5,15.1,15,76.0,5,8,29.0,3,0.91,18.0,20.0,-2.0,-0.13,0.34,19.1,18.0,1.1,0.07,0.36,Matches,Alaves,2024,23.0
600,Tomás Conechny,ar ARG,"FW,MF",27-040,,792.0,42.0,25.9,8.8,9,64.0,1,10,22.0,8,0.89,11.0,15.0,-4.0,-0.45,-0.18,9.6,10.8,-1.2,-0.14,-0.01,Matches,Alaves,2024,19.0
601,Carles Aleñá,es ESP,"MF,FW",27-124,,761.0,76.0,24.9,8.5,9,83.0,4,1,18.0,1,1.1,8.0,10.0,-2.0,-0.24,0.12,11.0,10.6,0.4,0.05,0.23,Matches,Alaves,2024,10.0
602,Toni Martínez,es ESP,"FW,MF",27-313,,912.0,36.0,29.8,10.1,8,72.0,2,17,20.0,7,0.96,12.0,15.0,-3.0,-0.3,0.04,11.9,13.5,-1.6,-0.16,-0.04,Matches,Alaves,2024,25.0
603,Stoichkov,es ESP,"MF,FW",31-185,,699.0,44.0,22.8,7.8,6,73.0,2,10,26.0,4,1.19,10.0,13.0,-3.0,-0.39,-0.08,9.5,11.3,-1.8,-0.23,-0.14,Matches,Alaves,2024,16.0
604,Aleksandar Sedlar,rs SRB,DF,33-147,,516.0,65.0,16.9,5.7,6,83.0,4,2,9.0,22,1.13,8.0,8.0,0.0,0.0,0.39,7.4,7.1,0.3,0.06,0.22,Matches,Alaves,2024,8.0
605,Jesús Owono,gq EQG,GK,24-069,,487.0,81.0,15.9,5.4,5,90.0,5,1,37.0,22,0.83,5.0,7.0,-2.0,-0.37,-0.05,5.4,4.4,1.0,0.18,0.37,Matches,Alaves,2024,6.0
606,Pica,es ESP,DF,23-128,,487.0,61.0,15.9,5.4,5,88.0,4,3,16.0,23,1.0,6.0,7.0,-1.0,-0.18,0.16,5.8,6.4,-0.6,-0.12,0.01,Matches,Alaves,2024,8.0
607,Carlos Benavídez,uy URU,MF,27-040,,393.0,28.0,12.8,4.4,5,55.0,1,9,13.0,12,1.2,6.0,11.0,-5.0,-1.15,-0.94,4.6,5.3,-0.7,-0.17,-0.05,Matches,Alaves,2024,14.0
608,Abderrahman Rebbach,dz ALG,"FW,MF",26-271,,385.0,48.0,12.6,4.3,4,75.0,1,4,22.0,10,1.25,6.0,7.0,-1.0,-0.23,0.1,4.3,5.7,-1.4,-0.32,-0.22,Matches,Alaves,2024,8.0
609,Facundo Garcés,ar ARG,DF,25-246,,318.0,53.0,10.4,3.5,3,90.0,3,3,16.0,10,1.67,2.0,3.0,-1.0,-0.28,0.05,2.1,4.9,-2.7,-0.77,-0.72,Matches,Alaves,2024,6.0
610,Asier Villalibre,es ESP,FW,27-221,,314.0,21.0,10.3,3.5,2,66.0,0,13,14.0,19,0.53,3.0,10.0,-7.0,-2.01,-1.88,4.3,7.3,-3.1,-0.87,-0.83,Matches,Alaves,2024,15.0
611,Hugo Novoa,es ESP,"DF,MF",22-128,,237.0,47.0,7.7,2.6,2,90.0,2,3,19.0,16,1.2,4.0,6.0,-2.0,-0.76,-0.47,4.6,3.3,1.3,0.48,0.66,Matches,Alaves,2024,5.0
612,Luka Romero,ar ARG,"FW,MF",20-172,,199.0,33.0,6.5,2.2,2,58.0,0,4,21.0,12,0.83,3.0,5.0,-2.0,-0.9,-0.62,2.0,3.7,-1.7,-0.77,-0.69,Matches,Alaves,2024,6.0
613,Pau Cabanes,es ESP,"MF,FW",20-081,,184.0,37.0,6.0,2.0,2,52.0,0,3,27.0,8,0.6,1.0,2.0,-1.0,-0.49,-0.18,2.9,2.5,0.4,0.2,0.35,Matches,Alaves,2024,5.0
614,Adrian Rodriguez,es ESP,GK,24-148,,122.0,61.0,4.0,1.4,1,90.0,1,1,32.0,20,2.0,2.0,2.0,0.0,0.0,0.34,1.7,2.9,-1.2,-0.91,-0.81,Matches,Alaves,2024,2.0
615,Luis Rioja,es ESP,FW,31-205,,23.0,23.0,0.8,0.3,0,,0,1,23.0,0,0.0,0.0,1.0,-1.0,-3.91,-3.62,1.2,0.4,0.8,3.08,3.23,Matches,Alaves,2024,1.0
616,Daouda Doumbia,ml MLI,MF,23-128,,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Alaves,2024,0.0
617,Alejandro Jay Agustín,es ESP,MF,22-306,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Alaves,2024,0.0
618,Julen Lartitegi,es ESP,FW,21-222,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Alaves,2024,0.0
619,Egoitz Muñoz,es ESP,DF,20-128,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Alaves,2024,0.0
620,Eneko Ortiz,es ESP,MF,21-348,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Alaves,2024,0.0
621,Joaquín Panichelli,ar ARG,FW,22-214,,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Alaves,2024,0.0
622,Grégoire Swiderski,ca CAN,GK,19-216,,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Alaves,2024,0.0
623,Alberto Moleiro,es ESP,"FW,MF",21-221,32.0,2463.0,77.0,80.5,27.4,29,81.0,15,3,40.0,1,0.91,35.0,45.0,-10.0,-0.37,0.54,29.6,46.6,-17.1,-0.62,0.83,Matches,Las Palmas,2024,
624,Álex Suárez,es ESP,DF,32-052,28.0,2322.0,83.0,75.9,25.8,28,83.0,18,0,,3,1.0,28.0,43.0,-15.0,-0.58,-0.46,24.4,45.1,-20.7,-0.8,-0.07,Matches,Las Palmas,2024,
625,Javier Muñoz,es ESP,"MF,DF",30-070,33.0,2498.0,76.0,81.6,27.8,27,86.0,20,6,28.0,0,0.97,32.0,48.0,-16.0,-0.58,-0.58,27.3,49.5,-22.2,-0.8,-0.07,Matches,Las Palmas,2024,
626,Jasper Cillessen,nl NED,GK,36-017,27.0,2335.0,86.0,76.3,25.9,27,86.0,25,0,,1,0.96,31.0,42.0,-11.0,-0.42,0.2,25.0,47.9,-22.9,-0.88,-0.4,Matches,Las Palmas,2024,
627,Scott McKenna,sct SCO,DF,28-178,27.0,2286.0,85.0,74.7,25.4,26,87.0,24,1,22.0,0,1.15,33.0,40.0,-7.0,-0.28,0.77,25.5,45.8,-20.2,-0.8,-0.04,Matches,Las Palmas,2024,
628,Mika Mármol,es ESP,DF,23-312,27.0,2129.0,79.0,69.6,23.7,24,86.0,21,3,20.0,3,0.93,29.0,40.0,-11.0,-0.47,0.02,25.1,42.2,-17.0,-0.72,0.22,Matches,Las Palmas,2024,
629,Sandro Ramírez,es ESP,"FW,MF",29-304,29.0,1923.0,66.0,62.8,21.4,24,74.0,5,5,29.0,0,1.0,26.0,32.0,-6.0,-0.28,0.51,20.9,38.4,-17.6,-0.82,-0.1,Matches,Las Palmas,2024,
630,Fábio Silva,pt POR,FW,22-294,24.0,1866.0,78.0,61.0,20.7,22,82.0,9,2,37.0,0,1.21,27.0,33.0,-6.0,-0.29,0.46,19.2,39.8,-20.6,-0.99,-0.53,Matches,Las Palmas,2024,
631,Dario Essugo,pt POR,MF,20-056,23.0,1702.0,74.0,55.6,18.9,22,75.0,8,1,45.0,1,1.13,17.0,24.0,-7.0,-0.37,0.23,16.7,30.9,-14.2,-0.75,0.09,Matches,Las Palmas,2024,
632,Kirian Rodríguez,es ESP,MF,29-065,21.0,1758.0,84.0,57.5,19.5,21,84.0,9,0,,0,1.1,22.0,29.0,-7.0,-0.36,0.26,17.1,36.7,-19.7,-1.01,-0.52,Matches,Las Palmas,2024,
633,Viti,es ESP,DF,27-235,26.0,1757.0,68.0,57.4,19.5,20,81.0,11,6,24.0,2,1.0,21.0,33.0,-12.0,-0.61,-0.34,17.0,32.0,-15.0,-0.77,0.05,Matches,Las Palmas,2024,
634,Oliver McBurnie,sct SCO,FW,28-339,30.0,1566.0,52.0,51.2,17.4,17,76.0,6,13,22.0,4,0.77,21.0,33.0,-12.0,-0.69,-0.45,19.1,31.2,-12.1,-0.7,0.19,Matches,Las Palmas,2024,
635,Álex Muñoz,es ESP,DF,30-283,20.0,1370.0,69.0,44.8,15.2,17,77.0,9,3,18.0,13,0.95,15.0,28.0,-13.0,-0.85,-0.69,12.2,29.1,-16.8,-1.11,-0.58,Matches,Las Palmas,2024,
636,José Campaña,es ESP,MF,31-343,23.0,1099.0,48.0,35.9,12.2,14,67.0,0,9,18.0,5,1.13,12.0,16.0,-4.0,-0.33,0.22,11.4,17.2,-5.9,-0.48,0.48,Matches,Las Palmas,2024,
637,Juan Herzog,es ESP,DF,21-361,15.0,966.0,64.0,31.6,10.7,11,80.0,8,4,22.0,19,0.53,9.0,19.0,-10.0,-0.93,-0.67,11.6,21.4,-9.7,-0.9,-0.17,Matches,Las Palmas,2024,
638,Stefan Bajcetic,es ESP,"MF,DF",20-199,12.0,839.0,70.0,27.4,9.3,10,77.0,3,2,35.0,1,0.75,7.0,16.0,-9.0,-0.97,-0.68,7.7,14.0,-6.2,-0.67,0.16,Matches,Las Palmas,2024,
639,Marvin,es ESP,"DF,FW",24-310,19.0,815.0,43.0,26.6,9.1,7,71.0,2,12,27.0,1,1.05,15.0,14.0,1.0,0.11,0.79,10.1,16.6,-6.4,-0.71,0.11,Matches,Las Palmas,2024,
640,Dinko Horkaš,hr CRO,GK,26-060,9.0,725.0,81.0,23.7,8.1,7,90.0,7,2,48.0,23,0.78,9.0,14.0,-5.0,-0.62,-0.2,9.1,13.0,-3.9,-0.48,0.4,Matches,Las Palmas,2024,
641,Manuel Fuster,es ESP,"FW,MF",27-199,24.0,792.0,33.0,25.9,8.8,6,62.0,0,18,23.0,10,0.71,12.0,18.0,-6.0,-0.68,-0.28,10.4,15.9,-5.5,-0.63,0.22,Matches,Las Palmas,2024,
642,Enzo Loiodice,fr FRA,MF,24-163,15.0,504.0,34.0,16.5,5.6,5,68.0,1,10,17.0,17,0.87,4.0,15.0,-11.0,-1.96,-1.79,4.8,11.2,-6.4,-1.14,-0.42,Matches,Las Palmas,2024,
643,Jaime Mata,es ESP,FW,36-197,26.0,528.0,20.0,17.3,5.9,3,65.0,0,23,14.0,6,0.96,10.0,10.0,0.0,0.0,0.57,10.0,9.3,0.7,0.12,1.1,Matches,Las Palmas,2024,
644,Adnan Januzaj,be BEL,"MF,FW",30-093,14.0,405.0,29.0,13.2,4.5,3,77.0,1,11,16.0,6,0.71,9.0,4.0,5.0,1.11,1.82,6.7,8.2,-1.5,-0.33,0.52,Matches,Las Palmas,2024,
645,Andy Pelmard,fr FRA,DF,25-058,4.0,205.0,51.0,6.7,2.3,2,75.0,1,2,28.0,2,0.25,3.0,3.0,0.0,0.0,0.5,2.8,4.0,-1.2,-0.53,0.28,Matches,Las Palmas,2024,
646,Benito Ramírez,es ESP,"DF,MF",29-302,17.0,388.0,23.0,12.7,4.3,1,77.0,0,16,19.0,9,0.94,7.0,8.0,-1.0,-0.23,0.27,5.9,9.3,-3.3,-0.78,0.01,Matches,Las Palmas,2024,
647,Daley Sinkgraven,nl NED,DF,29-309,2.0,91.0,46.0,3.0,1.0,1,45.0,0,1,46.0,3,0.5,1.0,2.0,-1.0,-0.99,-0.53,1.3,2.3,-1.0,-0.98,-0.2,Matches,Las Palmas,2024,
648,Marc Cardona,es ESP,"FW,DF",29-305,10.0,111.0,11.0,3.6,1.2,0,,0,10,11.0,20,0.7,2.0,4.0,-2.0,-1.62,-1.19,2.7,4.6,-1.9,-1.52,-0.76,Matches,Las Palmas,2024,
649,Fabio González,es ESP,MF,28-086,2.0,53.0,27.0,1.7,0.6,0,,0,2,27.0,14,1.5,2.0,1.0,1.0,1.7,2.21,0.6,1.6,-1.0,-1.77,-1.0,Matches,Las Palmas,2024,
650,Pejiño,es ESP,FW,28-284,1.0,16.0,16.0,0.5,0.2,0,,0,1,16.0,7,1.0,0.0,0.0,0.0,0.0,0.47,0.1,0.1,0.0,-0.22,0.57,Matches,Las Palmas,2024,
651,Valentín Pezzolesi,es ESP,DF,18-023,1.0,6.0,6.0,0.2,0.1,0,,0,1,6.0,3,0.0,0.0,1.0,-1.0,-15.0,-14.56,0.1,0.1,0.0,0.73,1.52,Matches,Las Palmas,2024,
652,Aboubacar Bassinga,ci CIV,MF,19-300,1.0,4.0,4.0,0.1,0.0,0,,0,1,4.0,3,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.5,-0.5,-10.9,-10.13,Matches,Las Palmas,2024,
653,Iván Gil,es ESP,MF,25-111,0.0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches,Las Palmas,2024,
654,Álvaro Killane,es ESP,GK,20-146,0.0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,Las Palmas,2024,
655,Diego Martín,es ESP,FW,21-269,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Las Palmas,2024,
656,Israel Mora,,,,0.0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,Las Palmas,2024,
657,Víctor Puig,es ESP,GK,25-269,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Las Palmas,2024,
658,Elías Romero,es ESP,FW,20-363,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Las Palmas,2024,
659,Sergio Ruiz,es ESP,FW,19-121,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Las Palmas,2024,
660,Sergio Viera,es ESP,MF,20-001,0.0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,Las Palmas,2024,
661,Sergi,es ESP,DF,33-019,33.0,2826.0,86.0,92.4,31.4,32,87.0,26,1,45.0,0,0.94,31.0,48.0,-17.0,-0.54,0.23,27.1,51.2,-24.1,-0.77,-0.1,Matches,Leganes,2024,
662,Marko Dmitrović,rs SRB,GK,33-105,28.0,2520.0,90.0,82.4,28.0,28,90.0,28,0,,6,0.93,29.0,44.0,-15.0,-0.54,0.13,25.9,47.5,-21.7,-0.77,-0.08,Matches,Leganes,2024,
663,Seydouba Cissé,gn GUI,MF,24-088,30.0,2092.0,70.0,68.4,23.2,27,74.0,8,3,30.0,2,0.97,20.0,32.0,-12.0,-0.52,0.13,19.2,36.9,-17.7,-0.76,0.0,Matches,Leganes,2024,
664,Valentin Rosier,fr FRA,DF,28-263,30.0,2443.0,81.0,79.8,27.1,26,90.0,26,4,26.0,2,0.7,21.0,40.0,-19.0,-0.7,-0.7,24.6,43.8,-19.2,-0.71,0.26,Matches,Leganes,2024,
665,Yvan Neyou,cm CMR,MF,28-126,28.0,2171.0,78.0,70.9,24.1,25,84.0,15,3,26.0,1,0.86,22.0,32.0,-10.0,-0.41,0.5,21.5,40.0,-18.5,-0.77,-0.03,Matches,Leganes,2024,
666,Javi Hernández,es ESP,DF,27-007,28.0,2119.0,76.0,69.2,23.5,24,85.0,18,4,17.0,5,0.93,21.0,35.0,-14.0,-0.59,-0.12,20.4,38.0,-17.6,-0.75,0.04,Matches,Leganes,2024,
