,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
452,Abdoulaye Keita,es ESP,"FW,MF",22-250,3.0,95.0,32.0,3.1,1.1,1,54.0,0,2,21.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,-1.9,-1.81,-1.67,Matches,Getafe,2024,
453,Alberto Risco,es ESP,"MF,FW",19-252,5.0,69.0,14.0,2.3,0.8,0,,0,5,14.0,6,0.6,2.0,0.0,2.0,2.61,2.67,1.6,0.7,0.9,1.13,1.36,Matches,Getafe,2024,
454,John Joe,ie IRL,"MF,FW",21-197,4.0,48.0,12.0,1.6,0.5,0,,0,4,12.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2.1,-1.6,-3.07,-2.92,Matches,Getafe,2024,
455,Gorka Rivera Alonso,es ESP,"DF,MF",20-281,1.0,20.0,20.0,0.7,0.2,0,,0,1,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,-0.3,-1.35,-1.16,Matches,Getafe,2024,
456,Ismael Bekhoucha,ma MAR,"DF,MF",20-170,2.0,9.0,5.0,0.3,0.1,0,,0,2,5.0,5,0.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,11.93,12.16,Matches,Getafe,2024,
457,David Argüelles,es ESP,MF,23-128,1.0,7.0,7.0,0.2,0.1,0,,0,1,7.0,13,1.0,1.0,0.0,1.0,12.86,12.89,1.4,0.0,1.4,17.47,17.7,Matches,Getafe,2024,
458,Jorge Benito,es ESP,GK,19-128,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Getafe,2024,
459,Guillem Cortiñas,es ESP,DF,22-094,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Getafe,2024,
460,Martin Cuellar,es ESP,,18-044,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Getafe,2024,
461,Diego Ferrer,,GK,,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Getafe,2024,
462,Jiří Letáček,,GK,26-120,0.0,,,,,0,,0,0,,34,,,,,,,,,,,,Matches,Getafe,2024,
463,Luca Lohr,es ESP,DF,22-263,0.0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,Getafe,2024,
464,Djordjije Medenica,es ESP,GK,18-173,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Getafe,2024,
465,Joan García,es ESP,GK,24-005,,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.15,36.0,44.0,-8.0,-0.24,,29.1,49.9,-20.8,-0.61,,Matches,Espanyol,2024,34.0
466,Omar El Hilali,ma MAR,DF,21-239,,2891.0,88.0,94.5,32.1,33,88.0,28,0,,0,1.15,36.0,42.0,-6.0,-0.19,0.88,27.4,48.7,-21.4,-0.67,-0.98,Matches,Espanyol,2024,33.0
467,Marash Kumbulla,al ALB,DF,25-090,,2702.0,84.0,88.3,30.0,31,86.0,26,1,27.0,0,1.22,33.0,38.0,-5.0,-0.17,0.59,26.7,44.6,-17.9,-0.6,0.12,Matches,Espanyol,2024,32.0
468,Javi Puado,es ESP,"FW,MF",26-349,,2658.0,86.0,86.9,29.5,31,86.0,19,0,,0,1.06,28.0,37.0,-9.0,-0.3,-0.53,25.0,43.8,-18.8,-0.64,-0.18,Matches,Espanyol,2024,31.0
469,Leandro Cabrera,uy URU,DF,33-326,,2610.0,87.0,85.3,29.0,29,88.0,28,1,45.0,0,1.07,32.0,37.0,-5.0,-0.17,0.43,25.2,41.1,-15.9,-0.55,0.43,Matches,Espanyol,2024,30.0
470,Alex Král,cz CZE,MF,26-355,,2630.0,77.0,85.9,29.2,28,88.0,25,6,28.0,0,1.15,29.0,42.0,-13.0,-0.44,-1.49,24.0,45.9,-21.9,-0.75,-0.99,Matches,Espanyol,2024,34.0
471,Carlos Romero,es ESP,DF,23-192,,2194.0,73.0,71.7,24.4,24,83.0,15,6,32.0,2,1.17,25.0,32.0,-7.0,-0.29,-0.18,20.1,37.3,-17.2,-0.71,-0.33,Matches,Espanyol,2024,30.0
472,Jofre,es ESP,"MF,FW",23-326,,2013.0,61.0,65.8,22.4,24,75.0,3,9,24.0,0,1.15,23.0,34.0,-11.0,-0.49,-0.75,17.5,35.7,-18.3,-0.82,-0.6,Matches,Espanyol,2024,33.0
473,Pol Lozano,es ESP,MF,25-215,,1785.0,66.0,58.3,19.8,24,73.0,5,3,15.0,4,1.19,19.0,21.0,-2.0,-0.1,0.32,13.1,24.0,-10.9,-0.55,0.16,Matches,Espanyol,2024,27.0
474,Roberto Férnandez,es ESP,FW,22-310,,1177.0,78.0,38.5,13.1,14,82.0,4,1,28.0,0,1.53,16.0,10.0,6.0,0.46,1.13,11.6,15.0,-3.4,-0.26,0.57,Matches,Espanyol,2024,15.0
475,Álvaro Tejero,es ESP,"MF,DF",28-293,,1185.0,46.0,38.7,13.2,13,75.0,4,13,16.0,7,1.04,14.0,24.0,-10.0,-0.76,-0.86,9.8,22.9,-13.0,-0.99,-0.62,Matches,Espanyol,2024,26.0
476,Urko González,es ESP,MF,24-050,,1034.0,80.0,33.8,11.5,12,84.0,5,1,24.0,0,1.54,14.0,8.0,6.0,0.52,1.14,10.1,13.5,-3.4,-0.3,0.48,Matches,Espanyol,2024,13.0
477,Brian Oliván,es ESP,DF,31-038,,1017.0,60.0,33.2,11.3,12,75.0,7,5,23.0,8,1.0,12.0,16.0,-4.0,-0.35,-0.18,9.5,14.2,-4.7,-0.41,0.3,Matches,Espanyol,2024,17.0
478,Antoniu,es ESP,"MF,FW",22-246,,881.0,38.0,28.8,9.8,11,62.0,0,12,16.0,8,1.22,12.0,7.0,5.0,0.51,1.05,10.6,11.0,-0.4,-0.04,0.8,Matches,Espanyol,2024,23.0
479,Alejo Véliz,ar ARG,FW,21-232,,1008.0,42.0,32.9,11.2,10,71.0,2,14,21.0,10,0.88,14.0,20.0,-6.0,-0.54,-0.45,10.6,20.8,-10.1,-0.89,-0.42,Matches,Espanyol,2024,24.0
480,Edu Expósito,es ESP,MF,28-281,,716.0,48.0,23.4,8.0,8,72.0,1,7,20.0,5,1.2,11.0,4.0,7.0,0.88,1.46,8.4,8.5,-0.1,-0.02,0.78,Matches,Espanyol,2024,15.0
481,José Gragera,es ESP,MF,24-160,,569.0,57.0,18.6,6.3,7,71.0,2,3,25.0,0,1.0,4.0,12.0,-8.0,-1.27,-1.27,5.5,11.5,-5.9,-0.94,-0.4,Matches,Espanyol,2024,10.0
482,Sergi Gómez,es ESP,DF,33-042,,652.0,59.0,21.3,7.2,6,86.0,5,5,28.0,22,0.91,6.0,13.0,-7.0,-0.97,-0.93,5.0,11.6,-6.7,-0.92,-0.39,Matches,Espanyol,2024,11.0
483,Walid Cheddira,ma MAR,FW,27-107,,612.0,31.0,20.0,6.8,5,59.0,0,15,21.0,12,1.1,6.0,8.0,-2.0,-0.29,-0.07,6.8,10.9,-4.1,-0.6,0.01,Matches,Espanyol,2024,20.0
484,Irvin Cardona,fr FRA,"FW,MF",27-274,,606.0,38.0,19.8,6.7,5,68.0,0,11,24.0,2,0.94,7.0,5.0,2.0,0.3,0.66,7.0,6.0,1.0,0.15,0.95,Matches,Espanyol,2024,16.0
485,Álvaro Aguado,es ESP,MF,29-008,,431.0,29.0,14.1,4.8,4,71.0,0,11,13.0,17,0.8,5.0,7.0,-2.0,-0.42,-0.21,5.1,8.3,-3.2,-0.67,-0.07,Matches,Espanyol,2024,15.0
