,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
42,Dani Ceballos,es ESP,MF,28-275,10.8,1093,1051,40,23,3,7,11,11,6,4,2,0,1034,2,9,Matches,Real Madrid,2024
43,Eduardo Camavinga,fr FRA,"MF,DF",22-180,12.2,793,746,42,17,4,4,2,25,0,0,0,0,700,5,11,Matches,Real Madrid,2024
44,Éder Militão,br BRA,DF,27-111,10.4,712,676,34,19,0,15,2,2,0,0,0,0,636,2,3,Matches,Real Madrid,2024
45,Arda Güler,tr TUR,"MF,FW",20-073,10.5,649,595,53,16,7,7,36,8,27,15,6,0,564,1,11,Matches,Real Madrid,2024
46,Dani Carvajal,es ESP,DF,33-118,6.8,463,409,53,7,0,0,14,46,0,0,0,0,399,1,9,Matches,Real Madrid,2024
47,Andriy Lunin,ua UKR,GK,26-087,5.0,165,127,38,6,0,1,0,0,0,0,0,0,143,0,1,Matches,Real Madrid,2024
48,David Alaba,at AUT,DF,32-319,3.5,228,214,13,4,0,2,3,2,0,0,0,0,206,1,2,Matches,Real Madrid,2024
49,Endrick,br BRA,FW,18-292,2.5,50,47,3,0,0,1,0,0,0,0,0,0,40,0,0,Matches,Real Madrid,2024
50,Fran,es ESP,GK,19-319,1.0,20,15,5,1,0,0,0,0,0,0,0,0,19,0,0,Matches,Real Madrid,2024
51,Jacobo Ramón,es ESP,DF,20-123,0.3,14,13,1,1,0,0,0,0,0,0,0,0,14,0,0,Matches,Real Madrid,2024
52,Jesús Vallejo,es ESP,DF,28-124,0.1,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches,Real Madrid,2024
53,Chema,es ESP,MF,20-014,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Real Madrid,2024
54,Lorenzo Aguado,es ESP,DF,22-232,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches,Real Madrid,2024
55,Daniel Yáñez,es ESP,FW,18-042,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Real Madrid,2024
56,Jan Oblak,si SVN,GK,32-122,33.0,871,547,323,59,0,1,0,0,0,0,0,0,691,1,0,Matches,Atletico Madrid,2024
57,Antoine Griezmann,fr FRA,"FW,MF",34-049,26.0,1368,1221,142,25,12,9,135,13,80,27,29,0,1012,5,39,Matches,Atletico Madrid,2024
58,Julián Álvarez,ar ARG,FW,25-098,25.2,858,785,71,8,8,10,60,6,38,16,11,0,643,2,27,Matches,Atletico Madrid,2024
59,Pablo Barrios,es ESP,MF,21-328,24.6,1445,1414,29,23,5,11,22,5,0,0,0,0,1244,2,27,Matches,Atletico Madrid,2024
60,Marcos Llorente,es ESP,"DF,MF",30-099,23.9,1359,1193,159,10,1,2,57,149,0,0,0,0,1158,7,34,Matches,Atletico Madrid,2024
61,Giuliano Simeone,ar ARG,MF,22-142,19.0,716,687,28,0,2,0,43,27,1,0,0,0,542,1,38,Matches,Atletico Madrid,2024
62,Robin Le Normand,es ESP,DF,28-179,20.9,1121,1091,30,23,0,5,1,4,0,0,0,0,1008,0,3,Matches,Atletico Madrid,2024
63,Clément Lenglet,fr FRA,DF,29-326,19.9,1229,1192,36,30,0,13,4,2,0,0,0,0,1066,1,13,Matches,Atletico Madrid,2024
64,Rodrigo De Paul,ar ARG,MF,30-350,20.0,1479,1372,97,66,23,14,56,17,12,2,7,0,1203,10,26,Matches,Atletico Madrid,2024
65,Conor Gallagher,eng ENG,MF,25-092,17.2,770,750,16,6,1,1,13,8,1,1,0,0,652,4,16,Matches,Atletico Madrid,2024
66,José María Giménez,uy URU,DF,30-109,20.2,1218,1147,70,49,1,18,0,5,0,0,0,0,1112,1,4,Matches,Atletico Madrid,2024
67,Javi Galán,es ESP,DF,30-171,17.3,909,741,164,18,1,2,50,146,0,0,0,0,756,4,19,Matches,Atletico Madrid,2024
68,Samuel Lino,br BRA,"MF,DF",25-137,14.4,693,665,28,3,1,3,35,23,2,0,0,0,547,0,29,Matches,Atletico Madrid,2024
69,Koke,es ESP,MF,33-121,17.9,1306,1245,53,44,2,6,13,5,4,0,0,0,1131,8,16,Matches,Atletico Madrid,2024
70,Nahuel Molina,ar ARG,DF,27-033,16.0,1077,906,165,13,1,5,50,143,9,3,6,0,859,6,35,Matches,Atletico Madrid,2024
71,Alexander Sørloth,no NOR,FW,29-155,14.8,313,299,9,0,1,0,4,0,0,0,0,0,198,5,5,Matches,Atletico Madrid,2024
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,612,517,95,11,0,1,8,84,0,0,0,0,515,0,7,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,579,502,77,6,1,3,3,71,0,0,0,0,498,0,3,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,492,474,17,13,0,2,0,1,0,0,0,0,443,1,1,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,269,244,25,3,1,0,34,8,13,6,5,0,210,0,10,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,248,236,10,0,1,2,20,1,6,1,1,0,182,2,12,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,29,13,15,4,0,1,0,0,0,0,0,0,23,1,0,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,46,41,5,3,0,0,2,1,1,0,0,0,38,0,0,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,818,787,26,0,7,7,114,21,0,0,0,0,515,5,35,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,1549,1489,57,50,2,10,8,2,0,0,0,0,1346,3,13,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,856,689,161,52,6,3,161,13,91,40,30,1,570,6,26,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,1019,975,41,23,5,11,26,0,18,2,11,0,821,3,12,Matches,Athletic Club,2024
84,Nico Williams,es ESP,FW,22-301,21.3,687,623,60,8,0,3,107,12,40,12,20,0,486,4,34,Matches,Athletic Club,2024
85,Beñat Prados,es ESP,MF,24-090,17.9,750,735,14,11,4,3,8,3,0,0,0,0,611,1,9,Matches,Athletic Club,2024
86,Gorka Guruzeta,es ESP,FW,28-239,18.1,360,337,23,0,0,2,3,2,0,0,0,0,261,0,10,Matches,Athletic Club,2024
87,Aitor Paredes,es ESP,DF,25-010,18.1,875,842,32,26,0,6,1,0,0,0,0,0,734,1,5,Matches,Athletic Club,2024
88,Yuri Berchiche,es ESP,DF,35-088,18.7,1158,948,207,24,0,15,39,183,0,0,0,0,973,3,13,Matches,Athletic Club,2024
89,Yeray Álvarez,es ESP,DF,30-105,17.8,1047,995,48,37,1,16,3,2,0,0,0,0,881,4,12,Matches,Athletic Club,2024
90,Oihan Sancet,es ESP,MF,25-014,16.3,521,500,17,2,5,4,17,3,0,0,0,0,424,4,12,Matches,Athletic Club,2024
91,Unai Simón,es ESP,GK,27-332,17.0,536,396,136,38,0,0,0,0,0,0,0,0,367,4,0,Matches,Athletic Club,2024
92,Andoni Gorosabel,es ESP,DF,28-278,15.6,840,661,178,13,0,0,39,165,0,0,0,0,703,1,18,Matches,Athletic Club,2024
93,Óscar de Marcos,es ESP,DF,36-025,15.3,910,713,195,18,2,2,49,177,0,0,0,0,723,2,18,Matches,Athletic Club,2024
94,Iñigo Ruiz de Galarreta,es ESP,MF,31-276,13.9,725,691,30,23,6,6,26,0,5,0,5,0,589,4,16,Matches,Athletic Club,2024
95,Julen Agirrezabala,es ESP,GK,24-134,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches,Athletic Club,2024
96,Unai Gómez,es ESP,"MF,FW",21-349,12.3,260,236,23,3,2,0,20,1,12,11,0,0,185,1,6,Matches,Athletic Club,2024
97,Adama Boiro,es ESP,DF,22-321,11.2,477,372,105,6,0,0,29,99,0,0,0,0,382,0,8,Matches,Athletic Club,2024
