,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
183,Iago Aspas,es ESP,"FW,MF",37-281,17.7,799,778,13,2,17,8,11,7,2,0,1,0,597,8,24,Matches,Celta Vigo,2024
184,Sergio Carreira,es ESP,"MF,DF",24-208,16.4,787,654,130,3,2,1,40,126,1,0,0,0,597,3,27,Matches,Celta Vigo,2024
185,Hugo Álvarez,es ESP,"MF,DF",21-311,16.4,958,805,148,16,0,2,31,122,10,4,1,0,756,5,29,Matches,Celta Vigo,2024
186,Hugo Sotelo,es ESP,MF,21-141,13.9,1016,939,77,37,3,19,50,1,39,14,18,0,872,0,10,Matches,Celta Vigo,2024
187,Pablo Durán,es ESP,"FW,MF",23-349,13.1,356,334,20,0,1,2,18,7,1,0,1,0,252,2,18,Matches,Celta Vigo,2024
188,Williot Swedberg,se SWE,"FW,MF",21-097,13.0,330,327,2,0,2,0,18,2,0,0,0,0,238,1,16,Matches,Celta Vigo,2024
189,Alfon,es ESP,"FW,MF",26-005,13.5,341,336,4,1,0,2,35,3,0,0,0,0,244,1,25,Matches,Celta Vigo,2024
190,Carlos Dominguez,es ESP,DF,24-087,10.0,773,748,24,22,0,6,0,2,0,0,0,0,674,1,5,Matches,Celta Vigo,2024
191,Jonathan Bamba,ci CIV,"FW,MF",29-044,9.0,364,347,14,2,3,1,25,11,1,0,0,0,287,3,12,Matches,Celta Vigo,2024
192,Damián Rodríguez,es ESP,MF,22-053,9.8,780,714,64,33,1,5,29,0,30,5,15,0,694,2,10,Matches,Celta Vigo,2024
193,Javier Manquillo,es ESP,DF,31-004,5.7,373,358,15,9,1,0,3,6,0,0,0,0,335,0,5,Matches,Celta Vigo,2024
194,Anastasios Douvikas,gr GRE,FW,25-280,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6,Matches,Celta Vigo,2024
195,Jailson Siqueira,br BRA,"DF,MF",29-244,6.8,481,473,8,6,0,2,1,1,0,0,0,0,435,0,5,Matches,Celta Vigo,2024
196,Fer López,,"FW,MF",,5.9,224,219,2,0,5,4,2,0,2,1,1,0,190,3,4,Matches,Celta Vigo,2024
197,Yoel Lago,es ESP,DF,21-045,4.3,268,263,5,4,1,1,0,1,0,0,0,0,249,0,0,Matches,Celta Vigo,2024
198,Iván Villar,es ESP,GK,27-304,4.0,117,76,41,6,0,0,0,0,0,0,0,0,95,0,0,Matches,Celta Vigo,2024
199,Iker Losada,es ESP,"FW,MF",23-281,3.8,122,121,0,0,2,2,5,0,0,0,0,0,93,1,4,Matches,Celta Vigo,2024
200,Franco Cervi,ar ARG,"FW,MF",30-348,2.9,131,107,24,4,2,0,6,18,2,1,1,0,90,0,7,Matches,Celta Vigo,2024
201,Mihailo Ristić,rs SRB,"MF,DF",29-190,2.7,155,116,39,2,0,0,5,36,1,1,0,0,119,0,6,Matches,Celta Vigo,2024
202,Luca de la Torre,us USA,MF,26-351,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,Celta Vigo,2024
203,Joseph Aidoo,gh GHA,DF,29-222,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,Celta Vigo,2024
204,Tadeo Allende,ar ARG,FW,26-078,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches,Celta Vigo,2024
205,Florian Lejeune,fr FRA,DF,33-354,32.9,1849,1750,97,77,0,30,7,6,0,0,0,0,1547,2,18,Matches,Rayo Vallecano,2024
206,Andrei Ratiu,ro ROU,DF,26-323,30.2,1622,1319,295,9,3,2,71,286,0,0,0,0,1328,8,48,Matches,Rayo Vallecano,2024
207,Augusto Batalla,ar ARG,GK,29-009,28.0,1035,769,263,96,0,2,0,0,0,0,0,0,697,3,3,Matches,Rayo Vallecano,2024
208,Jorge de Frutos,es ESP,"FW,MF",28-078,24.7,629,609,17,1,3,1,69,16,0,0,0,0,428,3,41,Matches,Rayo Vallecano,2024
209,Pep Chavarría,es ESP,"DF,FW",27-029,25.4,1374,1119,251,15,0,9,73,236,0,0,0,0,1100,4,35,Matches,Rayo Vallecano,2024
210,Álvaro García,es ESP,"FW,MF",32-194,25.2,768,748,16,1,2,5,100,6,1,1,0,0,494,4,37,Matches,Rayo Vallecano,2024
211,Abdul Mumin,gh GHA,DF,26-337,22.4,1085,1017,65,25,0,8,6,1,0,0,0,0,900,3,4,Matches,Rayo Vallecano,2024
212,Pathé Ciss,sn SEN,"MF,DF",31-054,21.0,1068,1034,27,18,5,6,4,4,0,0,0,0,905,7,13,Matches,Rayo Vallecano,2024
213,Isaac Palazón Camacho,es ESP,"MF,FW",30-133,20.0,828,718,101,14,9,5,78,4,65,33,19,0,644,9,20,Matches,Rayo Vallecano,2024
214,Unai López,es ESP,MF,29-191,16.8,1092,1033,57,20,4,6,26,12,16,7,5,0,922,2,13,Matches,Rayo Vallecano,2024
215,Óscar Valentín,es ESP,MF,30-262,18.6,753,737,15,15,0,3,2,0,0,0,0,0,622,1,16,Matches,Rayo Vallecano,2024
216,Adri Embarba,es ESP,"FW,MF",33-002,16.5,552,481,68,19,3,2,110,11,35,20,9,0,352,3,25,Matches,Rayo Vallecano,2024
217,Randy Nteka,ao ANG,FW,27-154,12.5,223,209,13,0,0,0,4,0,0,0,0,0,144,1,9,Matches,Rayo Vallecano,2024
218,Sergio Camello,es ESP,FW,24-088,12.6,263,248,13,0,7,2,6,2,0,0,0,0,207,2,12,Matches,Rayo Vallecano,2024
219,Pedro Díaz,es ESP,MF,26-338,11.5,486,449,33,11,1,8,38,0,22,10,10,0,385,4,7,Matches,Rayo Vallecano,2024
220,Iván Balliu,al ALB,DF,33-128,10.0,476,345,129,6,0,0,13,123,0,0,0,0,352,2,15,Matches,Rayo Vallecano,2024
221,Aridane Hernández,es ESP,DF,36-047,8.4,382,356,25,10,0,5,0,0,0,0,0,0,333,1,2,Matches,Rayo Vallecano,2024
222,Alfonso Espino,uy URU,DF,33-124,8.2,427,354,69,8,0,0,21,61,0,0,0,0,311,4,10,Matches,Rayo Vallecano,2024
223,Gerard Gumbau,es ESP,MF,30-142,8.6,382,341,40,15,0,4,38,2,23,14,7,0,287,1,10,Matches,Rayo Vallecano,2024
224,Cárdenas,es ESP,GK,28-042,6.0,179,111,67,21,0,0,0,0,0,0,0,0,94,1,0,Matches,Rayo Vallecano,2024
225,Óscar Trejo,ar ARG,MF,37-013,5.4,292,271,18,1,1,0,7,6,3,1,1,0,244,3,4,Matches,Rayo Vallecano,2024
226,Sergi Guardiola,es ESP,FW,33-345,4.0,84,81,3,0,0,0,4,0,0,0,0,0,56,0,5,Matches,Rayo Vallecano,2024
227,James Rodríguez,co COL,"MF,FW",33-301,1.6,98,84,14,4,1,0,13,2,6,4,2,0,78,0,0,Matches,Rayo Vallecano,2024
228,Pelayo Fernandez,es ESP,DF,22-010,1.0,24,23,1,1,0,0,0,0,0,0,0,0,20,0,0,Matches,Rayo Vallecano,2024
229,Etienne Eto'o,cm CMR,FW,22-264,0.4,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Rayo Vallecano,2024
230,Raúl de Tomás,es ESP,"DF,FW",30-204,0.2,6,5,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches,Rayo Vallecano,2024
231,Sergio Herrera,es ESP,GK,31-338,33.0,1103,762,337,98,0,2,0,0,0,0,0,0,772,4,0,Matches,Osasuna,2024
232,Jesús Areso,es ESP,DF,25-311,30.2,1392,1066,322,3,0,4,147,318,1,0,0,0,1000,4,59,Matches,Osasuna,2024
233,Catena,es ESP,DF,30-193,30.2,1360,1250,105,95,1,14,1,2,0,0,0,0,1136,5,7,Matches,Osasuna,2024
234,Lucas Torró,es ESP,MF,30-294,29.4,1271,1247,19,19,1,26,1,0,0,0,0,0,966,5,10,Matches,Osasuna,2024
235,Aimar Oroz,es ESP,"MF,FW",23-163,29.0,973,929,38,9,8,6,23,5,4,1,1,0,795,6,25,Matches,Osasuna,2024
236,Ante Budimir,hr CRO,FW,33-291,29.1,392,366,24,1,1,0,5,1,0,0,0,0,218,2,7,Matches,Osasuna,2024
237,Enzo Boyomo,cm CMR,DF,23-214,29.2,1247,1177,68,45,3,6,2,17,0,0,0,0,1085,2,9,Matches,Osasuna,2024
238,Rubén García,es ESP,"FW,MF",31-299,24.5,1099,971,121,38,1,21,120,10,62,28,11,2,818,7,35,Matches,Osasuna,2024
239,Jon Moncayola,es ESP,MF,26-361,22.9,965,864,96,40,1,9,100,5,43,14,16,0,721,5,19,Matches,Osasuna,2024
240,Abel,es ESP,DF,24-261,22.4,1035,817,214,13,3,2,83,201,0,0,0,0,749,4,46,Matches,Osasuna,2024
241,Bryan Zaragoza,es ESP,"FW,MF",24-014,16.9,448,397,48,12,4,4,80,13,18,8,2,0,287,3,14,Matches,Osasuna,2024
242,Jorge Herrando,es ESP,DF,24-070,15.2,732,694,36,22,0,6,2,8,0,0,0,0,625,2,5,Matches,Osasuna,2024
243,Juan Cruz Armada,es ESP,DF,32-285,13.0,511,384,126,14,0,1,9,112,0,0,0,0,392,1,7,Matches,Osasuna,2024
244,Pablo Ibáñez,es ESP,MF,26-231,11.4,407,390,12,4,2,2,8,3,1,0,0,0,306,5,11,Matches,Osasuna,2024
245,Moi Gómez,es ESP,"MF,FW",30-320,8.8,494,480,13,7,0,9,28,1,2,1,1,0,398,1,16,Matches,Osasuna,2024
246,Rubén Peña,es ESP,"FW,DF",33-295,7.6,286,253,32,2,0,1,50,26,4,2,1,0,169,1,18,Matches,Osasuna,2024
247,Raúl,es ESP,"FW,MF",24-187,7.7,152,140,10,0,0,1,6,0,0,0,0,0,102,2,7,Matches,Osasuna,2024
248,Iker Muñoz,es ESP,MF,22-185,5.6,256,252,4,2,1,0,5,1,0,0,0,0,203,0,8,Matches,Osasuna,2024
249,Kike Barja,es ESP,"FW,MF",28-038,2.9,101,87,13,2,0,0,33,3,8,0,7,0,65,1,7,Matches,Osasuna,2024
250,Nacho Vidal,es ESP,DF,30-105,1.4,49,37,12,0,0,0,2,12,0,0,0,0,37,0,2,Matches,Osasuna,2024
251,José Arnaiz,es ESP,"MF,FW",30-024,1.4,61,52,9,3,0,1,13,1,5,4,0,0,39,0,4,Matches,Osasuna,2024
252,Aitor Fernández,es ESP,GK,34-006,1.0,45,27,18,7,0,0,0,0,0,0,0,0,29,0,0,Matches,Osasuna,2024
253,Unai García,es ESP,DF,33-095,0.7,37,35,2,2,0,1,0,0,0,0,0,0,35,0,0,Matches,Osasuna,2024
254,Iker Benito,es ESP,"FW,MF",22-272,0.4,13,13,0,0,0,0,2,0,0,0,0,0,9,0,0,Matches,Osasuna,2024
255,Javi Martínez,es ESP,MF,25-138,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches,Osasuna,2024
256,Antonio Raillo,es ESP,DF,33-213,31.6,1537,1393,142,60,1,4,2,1,0,0,0,0,1360,2,4,Matches,Mallorca,2024
257,Sergi Darder,es ESP,"MF,FW",31-138,26.6,1113,929,177,62,8,23,139,12,64,26,30,3,848,7,20,Matches,Mallorca,2024
258,Johan Mojica,co COL,DF,32-261,28.3,1482,1167,304,26,2,7,128,277,1,0,1,0,1090,11,49,Matches,Mallorca,2024
259,Dominik Greif,sk SVK,GK,28-033,28.0,950,679,265,92,0,2,0,0,0,0,0,0,662,6,0,Matches,Mallorca,2024
260,Martin Valjent,sk SVK,DF,29-149,27.7,1210,1120,85,40,1,4,9,44,0,0,0,0,1030,5,13,Matches,Mallorca,2024
261,Samu Costa,pt POR,MF,24-163,25.6,1245,1213,28,22,3,18,18,6,0,0,0,0,1003,4,29,Matches,Mallorca,2024
262,Pablo Maffeo,es ESP,DF,27-301,24.5,971,746,216,10,3,2,86,206,0,0,0,0,685,9,31,Matches,Mallorca,2024
263,Dani Rodríguez,es ESP,"MF,FW",36-337,21.8,670,567,100,28,7,8,113,4,54,25,27,0,462,3,17,Matches,Mallorca,2024
264,Vedat Muriqi,xk KVX,FW,31-015,19.6,416,406,6,0,3,2,9,0,0,0,0,0,254,4,15,Matches,Mallorca,2024
265,Cyle Larin,ca CAN,FW,30-022,18.0,289,282,6,0,0,0,6,2,0,0,0,0,193,1,11,Matches,Mallorca,2024
266,Omar Mascarell,gq EQG,MF,32-096,19.1,783,768,11,11,0,7,3,0,0,0,0,0,666,4,8,Matches,Mallorca,2024
267,Copete,es ESP,DF,25-211,16.0,740,692,47,28,2,0,6,0,0,0,0,0,617,1,5,Matches,Mallorca,2024
268,Manu Morlanes,es ESP,MF,26-117,14.4,665,640,23,19,2,4,7,2,1,0,1,0,594,2,3,Matches,Mallorca,2024
269,Roberto Navarro,es ESP,"MF,FW",23-027,14.2,473,451,17,5,5,0,29,5,7,2,2,0,357,5,13,Matches,Mallorca,2024
270,Takuma Asano,jp JPN,"FW,MF",30-180,11.0,203,201,2,1,0,3,19,0,0,0,0,0,136,0,13,Matches,Mallorca,2024
271,Antonio Sánchez,es ESP,"MF,DF",28-128,13.6,470,432,34,4,1,2,25,24,3,0,2,0,342,4,12,Matches,Mallorca,2024
272,Leo Román,es ESP,GK,24-307,6.0,206,149,57,16,0,0,0,0,0,0,0,0,120,0,0,Matches,Mallorca,2024
273,Mateu Morey,es ESP,DF,25-068,5.5,265,226,38,1,0,0,15,37,0,0,0,0,203,1,7,Matches,Mallorca,2024
274,Toni Lato,es ESP,DF,27-169,5.1,253,202,49,1,0,0,21,48,0,0,0,0,185,2,5,Matches,Mallorca,2024
275,Abdón Prats,es ESP,"FW,MF",32-153,5.1,87,82,5,0,0,0,0,0,0,0,0,0,58,0,1,Matches,Mallorca,2024
276,Marc Domenech,es ESP,"FW,MF",19-128,2.3,38,38,0,0,0,0,4,0,0,0,0,0,25,0,1,Matches,Mallorca,2024
277,Valery Fernández,es ESP,"MF,FW",25-167,3.3,87,85,2,0,0,0,3,2,0,0,0,0,76,0,1,Matches,Mallorca,2024
278,Chiquinho,pt POR,"MF,FW",25-093,1.6,34,25,9,3,1,0,9,2,4,1,3,0,22,0,1,Matches,Mallorca,2024
279,Siebe Van Der Heyden,be BEL,"DF,MF",26-344,1.1,73,65,8,0,0,1,2,8,0,0,0,0,65,0,0,Matches,Mallorca,2024
280,David López,es ESP,DF,22-095,0.9,35,34,0,0,0,0,0,0,0,0,0,0,31,1,1,Matches,Mallorca,2024
281,Javier Llabrés,es ESP,FW,22-240,0.6,24,24,0,0,0,0,4,0,0,0,0,0,20,0,0,Matches,Mallorca,2024
282,Jan Salas,es ESP,MF,19-272,0.3,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches,Mallorca,2024
283,Daniel Luna,co COL,MF,22-002,0.2,13,11,2,0,0,0,3,1,1,1,0,0,8,0,0,Matches,Mallorca,2024
284,Álex Remiro,es ESP,GK,30-046,33.0,1182,857,321,101,0,3,0,0,0,0,0,0,866,4,1,Matches,Real Sociedad,2024
285,Martín Zubimendi,es ESP,MF,26-096,29.9,1610,1548,55,53,2,11,12,1,1,0,0,0,1340,7,21,Matches,Real Sociedad,2024
286,Sergio Gómez,es ESP,"MF,DF",24-247,28.2,1354,1120,226,52,1,9,214,45,122,40,64,0,1010,8,46,Matches,Real Sociedad,2024
287,Jon Aramburu,ve VEN,DF,22-290,24.7,1363,1083,279,33,0,3,40,246,0,0,0,0,1065,1,32,Matches,Real Sociedad,2024
288,Igor Zubeldia,es ESP,DF,28-040,22.7,1316,1270,38,35,3,11,1,1,0,0,0,0,1121,8,5,Matches,Real Sociedad,2024
289,Mikel Oyarzabal,es ESP,"FW,MF",28-018,22.3,455,425,30,0,2,2,9,4,0,0,0,0,332,0,16,Matches,Real Sociedad,2024
290,Takefusa Kubo,jp JPN,"MF,FW",23-339,22.9,822,780,35,9,6,2,70,5,20,9,6,0,588,7,37,Matches,Real Sociedad,2024
291,Nayef Aguerd,ma MAR,DF,29-040,19.6,1389,1330,53,38,0,34,2,3,0,0,0,0,1213,6,10,Matches,Real Sociedad,2024
292,Javi López,es ESP,DF,23-045,19.5,934,698,235,20,0,8,52,215,0,0,0,0,733,1,25,Matches,Real Sociedad,2024
293,Luka Sučić,hr CRO,MF,22-243,17.8,782,758,19,7,4,6,17,1,1,0,1,0,640,5,14,Matches,Real Sociedad,2024
294,Brais Méndez,es ESP,MF,28-122,15.5,720,652,62,29,2,12,44,5,23,6,13,0,560,6,17,Matches,Real Sociedad,2024
295,Aritz Elustondo,es ESP,DF,31-042,13.2,733,677,52,22,3,3,3,28,0,0,0,0,620,4,8,Matches,Real Sociedad,2024
296,Ander Barrenetxea,es ESP,"MF,FW",23-133,12.3,469,452,13,1,1,10,42,10,2,0,0,0,335,4,24,Matches,Real Sociedad,2024
297,Sheraldo Becker,sr SUR,"FW,MF",30-089,11.1,313,304,8,0,0,1,64,4,2,0,0,0,200,1,14,Matches,Real Sociedad,2024
298,Aihen Muñoz,es ESP,DF,27-266,10.3,533,404,127,5,0,1,26,122,0,0,0,0,378,2,12,Matches,Real Sociedad,2024
299,Pablo Marín,es ESP,MF,21-310,10.6,348,334,12,3,2,0,10,0,0,0,0,0,271,2,10,Matches,Real Sociedad,2024
300,Beñat Turrientes,es ESP,MF,23-098,9.1,364,338,26,14,0,4,18,1,10,5,1,0,322,0,1,Matches,Real Sociedad,2024
301,Orri Steinn Óskarsson,is ISL,FW,20-253,10.5,197,188,4,0,0,0,7,0,0,0,0,0,104,5,9,Matches,Real Sociedad,2024
302,Jon Pacheco,es ESP,DF,24-121,8.5,460,433,26,19,0,9,0,1,0,0,0,0,381,1,5,Matches,Real Sociedad,2024
303,Olasagasti,es ESP,MF,24-266,8.8,375,361,13,3,0,4,10,1,4,0,2,0,284,1,7,Matches,Real Sociedad,2024
304,Hamari Traoré,ml MLI,DF,33-102,6.4,391,313,78,12,0,1,6,66,0,0,0,0,324,0,7,Matches,Real Sociedad,2024
305,Jon Martin,es ESP,DF,19-128,8.0,458,448,10,10,0,1,0,0,0,0,0,0,394,0,2,Matches,Real Sociedad,2024
306,Umar Sadiq,ng NGA,FW,28-096,2.5,48,46,1,0,0,0,2,0,0,0,0,0,25,1,2,Matches,Real Sociedad,2024
307,Unai Marrero,es ESP,GK,23-212,1.0,30,19,10,2,0,0,0,0,0,0,0,0,22,1,0,Matches,Real Sociedad,2024
308,Arsen Zakharyan,ru RUS,"MF,FW",21-348,0.8,33,32,1,0,2,1,1,0,1,1,0,0,28,0,0,Matches,Real Sociedad,2024
309,Urko González,es ESP,MF,24-050,0.5,17,17,0,0,0,1,1,0,0,0,0,0,10,0,1,Matches,Real Sociedad,2024
310,Arkaitz Mariezkurrena,es ESP,"MF,FW",20-034,1.2,40,39,1,1,0,0,2,0,0,0,0,0,25,0,3,Matches,Real Sociedad,2024
311,Álvaro Odriozola,es ESP,DF,29-146,0.5,30,25,5,0,0,0,1,5,0,0,0,0,22,0,0,Matches,Real Sociedad,2024
312,Daniel Díaz,es ESP,MF,18-321,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Real Sociedad,2024
313,Luken Beitia,es ESP,DF,20-313,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,Real Sociedad,2024
314,Jon Magunazelaia,es ESP,MF,24-300,0.1,13,13,0,0,1,0,0,0,0,0,0,0,7,0,1,Matches,Real Sociedad,2024
315,Cristhian Mosquera,es ESP,DF,20-316,32.9,1798,1713,81,49,0,6,1,21,0,0,0,0,1643,4,8,Matches,Valencia,2024
316,Diego López,es ESP,"MF,FW",22-361,27.7,845,806,36,0,4,3,63,33,0,0,0,0,607,3,46,Matches,Valencia,2024
317,Giorgi Mamardashvili,ge GEO,GK,24-222,30.0,931,623,306,101,0,3,0,0,0,0,0,0,611,2,1,Matches,Valencia,2024
318,César Tárrega,es ESP,DF,23-072,29.6,1415,1350,61,42,0,8,1,1,0,0,0,0,1187,4,12,Matches,Valencia,2024
319,Luis Rioja,es ESP,"MF,FW",31-205,28.6,1093,969,121,24,6,14,191,46,51,29,13,0,733,3,59,Matches,Valencia,2024
320,Javier Guerra,es ESP,MF,22-128,25.9,1147,1089,48,22,6,10,44,5,15,7,3,0,887,10,37,Matches,Valencia,2024
321,Dimitri Foulquier,fr FRA,DF,32-047,24.9,1241,972,263,42,2,4,57,221,0,0,0,0,978,6,42,Matches,Valencia,2024
322,Hugo Duro,es ESP,FW,25-180,21.8,395,356,38,1,0,1,7,1,0,0,0,0,275,1,14,Matches,Valencia,2024
323,Enzo Barrenechea,ar ARG,MF,23-352,21.2,1164,1115,44,43,3,19,3,1,0,0,0,0,999,5,11,Matches,Valencia,2024
324,Domingos André Ribeiro Almeida,pt POR,"MF,FW",24-344,19.5,824,742,74,23,4,4,56,9,29,6,16,0,699,8,13,Matches,Valencia,2024
325,José Luis Gayà,es ESP,DF,29-349,17.3,864,715,146,8,1,5,77,138,0,0,0,0,671,3,16,Matches,Valencia,2024
326,José Luis García Vayá,es ESP,MF,26-271,17.4,1133,988,138,67,3,22,107,0,70,22,34,3,883,7,11,Matches,Valencia,2024
327,Yarek Gasiorowski,es ESP,DF,20-117,10.5,482,448,34,17,1,1,3,16,0,0,0,0,387,0,7,Matches,Valencia,2024
328,Jesus Vazquez,es ESP,DF,22-127,9.1,399,297,99,4,0,0,21,94,0,0,0,0,305,3,21,Matches,Valencia,2024
329,Thierry Correia,pt POR,DF,26-061,8.5,441,349,91,7,0,1,18,84,0,0,0,0,330,1,16,Matches,Valencia,2024
330,Umar Sadiq,ng NGA,FW,28-096,7.5,150,135,14,0,0,3,0,1,0,0,0,0,107,1,5,Matches,Valencia,2024
331,Dani Gómez,es ESP,FW,26-283,5.9,83,72,11,0,0,0,0,2,0,0,0,0,62,0,6,Matches,Valencia,2024
332,Rafa Mir,es ESP,"FW,MF",27-325,6.6,144,142,2,0,0,0,5,0,0,0,0,0,109,0,6,Matches,Valencia,2024
333,Mouctar Diakhaby,gn GUI,DF,28-141,4.1,138,127,9,5,0,2,0,1,0,0,0,0,113,2,1,Matches,Valencia,2024
334,Hugo Guillamón,es ESP,MF,25-098,4.0,188,178,9,9,0,3,1,0,0,0,0,0,154,1,1,Matches,Valencia,2024
335,Stole Dimitrievski,mk MKD,GK,31-135,4.0,133,88,45,25,0,0,0,0,0,0,0,0,68,0,0,Matches,Valencia,2024
336,Francisco Perez,es ESP,"MF,FW",22-242,5.1,180,173,7,0,1,2,24,6,1,0,0,0,131,0,12,Matches,Valencia,2024
337,Sergi Canós,es ESP,"MF,FW",28-096,4.0,155,146,8,1,0,1,18,3,4,0,3,0,89,1,10,Matches,Valencia,2024
338,Ivan Jaime Pajuelo,es ESP,MF,24-225,2.1,80,75,4,1,0,0,6,0,3,1,0,0,64,1,3,Matches,Valencia,2024
339,Germán Valera,es ESP,MF,23-054,1.6,47,46,1,0,0,0,6,1,0,0,0,0,34,0,1,Matches,Valencia,2024
340,Max Aarons,eng ENG,"DF,MF",25-125,1.2,42,35,7,0,0,0,2,7,0,0,0,0,29,0,1,Matches,Valencia,2024
341,Maximiliano Caufriez,be BEL,DF,28-082,1.0,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches,Valencia,2024
342,Rodrigo Abajas,es ESP,DF,21-362,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches,Valencia,2024
343,Martín Tejón,es ESP,"MF,DF",21-027,0.5,26,26,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches,Valencia,2024
344,Iker Córdoba,es ESP,DF,19-179,0.2,11,11,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches,Valencia,2024
345,David Otorbi,es ESP,MF,17-205,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,Valencia,2024
346,Alberto Marí,es ESP,FW,23-302,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,Valencia,2024
347,David Soria,es ESP,GK,32-035,34.0,920,501,414,143,0,3,0,0,0,0,0,0,458,5,0,Matches,Getafe,2024
348,Omar Alderete,py PAR,DF,28-134,30.4,1048,969,66,60,3,28,6,0,0,0,0,0,693,13,13,Matches,Getafe,2024
349,Djené,tg TOG,"DF,MF",33-129,27.3,889,780,105,17,0,4,32,88,0,0,0,0,671,4,8,Matches,Getafe,2024
350,Luis Milla,es ESP,MF,30-214,28.9,1431,1147,274,155,4,23,182,1,101,42,43,1,1061,10,17,Matches,Getafe,2024
351,Iglesias,es ESP,DF,26-310,28.3,1102,769,324,24,0,12,77,300,0,0,0,0,630,9,38,Matches,Getafe,2024
352,Diego Rico,es ESP,DF,32-075,27.3,1383,970,402,41,0,9,129,350,11,0,11,0,942,11,40,Matches,Getafe,2024
353,Mauro Arambarri,uy URU,MF,29-221,26.9,747,722,21,13,2,8,14,0,1,1,0,0,552,4,11,Matches,Getafe,2024
354,Chrisantus Uche,ng NGA,"FW,MF",21-355,24.8,536,523,10,0,1,2,19,0,0,0,0,0,351,3,21,Matches,Getafe,2024
355,Domingos Duarte,pt POR,DF,30-060,17.0,548,519,27,25,0,6,0,2,0,0,0,0,427,2,0,Matches,Getafe,2024
356,Carles Pérez,es ESP,"MF,FW",27-082,15.9,336,317,17,9,2,0,42,1,7,4,1,0,226,2,11,Matches,Getafe,2024
357,Bertuğ Yıldırım,tr TUR,FW,22-301,11.6,177,169,8,0,0,0,7,0,0,0,0,0,96,0,3,Matches,Getafe,2024
358,Alex Sola,es ESP,"MF,FW",25-334,11.4,242,238,2,1,0,2,18,1,0,0,0,0,155,2,10,Matches,Getafe,2024
359,Ramón Terrats,es ESP,"MF,FW",24-203,10.1,267,238,26,12,2,3,27,3,11,3,7,0,175,3,8,Matches,Getafe,2024
360,Coba da Costa,es ESP,"MF,FW",22-287,9.9,256,254,2,0,2,0,35,1,1,0,0,0,162,0,10,Matches,Getafe,2024
361,Juan Berrocal,es ESP,DF,26-005,10.6,335,318,17,15,0,2,0,0,0,0,0,0,251,0,1,Matches,Getafe,2024
362,Allan Nyom,cm CMR,"DF,MF",36-364,7.7,295,235,59,5,0,0,15,54,0,0,0,0,234,1,1,Matches,Getafe,2024
363,Juanmi,es ESP,"FW,MF",31-354,7.4,136,130,6,0,0,0,0,3,0,0,0,0,104,0,10,Matches,Getafe,2024
364,Juan Bernat,es ESP,"MF,DF",32-069,7.0,187,171,14,0,0,0,13,14,0,0,0,0,132,2,14,Matches,Getafe,2024
365,Álvaro Rodríguez,uy URU,FW,20-299,7.9,193,189,0,0,1,1,4,0,0,0,0,0,96,4,1,Matches,Getafe,2024
366,Carles Aleñá,es ESP,"MF,FW",27-124,5.0,117,105,12,6,0,0,6,1,1,1,0,0,93,0,1,Matches,Getafe,2024
367,Borja Mayoral,es ESP,FW,28-034,9.3,197,176,19,1,0,4,8,3,0,0,0,0,153,2,4,Matches,Getafe,2024
368,Jesús Santiago,es ESP,MF,20-349,3.6,110,108,2,0,0,0,2,2,0,0,0,0,77,0,3,Matches,Getafe,2024
369,Nabil Aberdin,fr FRA,MF,22-259,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches,Getafe,2024
370,Peter González,do DOM,"MF,FW",22-288,4.4,108,95,11,2,0,0,10,8,0,0,0,0,74,2,4,Matches,Getafe,2024
371,Abdoulaye Keita,es ESP,"FW,MF",22-250,1.1,27,26,1,0,0,1,1,1,0,0,0,0,15,0,1,Matches,Getafe,2024
372,Alberto Risco,es ESP,"MF,FW",19-252,0.8,34,33,0,0,0,0,4,0,0,0,0,0,25,1,1,Matches,Getafe,2024
